id,element,element_type,stride,threat_description,mitigation,SDL_stage,cvss_vector,cvss_score
12,P2: File Management Service,Process,Tampering,Path traversal or malicious file overwrite (e.g. `../../etc/passwd`) during upload validation corrupts server files.,"Generate random UUID-based storage keys; validate MIME types, extensions, and sanitize all user-supplied filenames.",Implementation,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,8.8
13,P2: File Management Service,Process,Repudiation,"File Management Service fails to generate audit logs for file creation, updates, deletions, or permission changes.","Log all file operations with user identity, object ID, operation type, and result status into an immutable audit store.",Verification,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,6.5
14,P2: File Management Service,Process,Information Disclosure,Insecure Direct Object Reference (IDOR/BOLA) allows users to retrieve files belonging to other users without authorization.,"Enforce mandatory authorization checks via DS2 associating authenticated user, requested object ID, and specific action.",Design,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,6.5
15,P2: File Management Service,Process,Denial of Service,Zip bomb (decompression bomb) or massive multipart upload flooding exhausts memory and disk space on P2.,"Enforce strict upload file size quotas, rate limiting, streaming validation, and nested archive inspection limits.",Implementation,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,6.5
16,P2: File Management Service,Process,Elevation of Privilege,Flaws in permission evaluation logic allow regular users to alter file ownership or grant themselves admin permissions.,Enforce strict Role-Based / Attribute-Based Access Control (RBAC/ABAC) verified against DS2 with fail-closed defaults.,Design,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,8.8
17,P3: AI File Assistant,Process,Spoofing,Attacker spoofs conversation context or document identifiers to manipulate AI assistant session context.,Bind conversational context strictly to authenticated user session IDs and validate state signatures.,Design,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,5.4
18,P3: AI File Assistant,Process,Tampering,Indirect prompt injection via malicious text in uploaded documents overrides assistant instructions to alter behavior.,"Isolate untrusted document context using strict XML/Markdown delimiters, and apply prompt safety filters.",Design,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,5.4
19,P3: AI File Assistant,Process,Repudiation,Lack of logging for user questions and retrieved document excerpts prevents forensic analysis of AI abuse.,"Log user queries, document IDs queried, session context, and AI assistant actions to secure audit telemetry.",Verification,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,4.3
20,P3: AI File Assistant,Process,Information Disclosure,"AI File Assistant attempts to bypass P2/DS2 authorization, leaking unauthorized document context to the user.",Mandate architectural rule: P3 must never access DS1 directly; all context must be authorized and retrieved via P2.,Design,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,6.5
21,P3: AI File Assistant,Process,Denial of Service,Excessive document question requests or requests targeting massive files exhaust P3 processing threads.,"Limit maximum document context size, implement per-user request throttling, and execute AI tasks asynchronously.",Implementation,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,6.5
22,P3: AI File Assistant,Process,Elevation of Privilege,Prompt injection tricks AI assistant into granting access or generating fictitious authorization claims.,Ensure AI output is treated purely as untrusted text and never used to make authorization or permission decisions.,Design,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,8.1
23,P4: LLM Integration Service,Process,Spoofing,Unauthorized internal process impersonates P3 to send arbitrary prompt generation requests to P4.,Require mTLS and internal service token authentication between P3 and P4.,Design,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,8.1
24,P4: LLM Integration Service,Process,Tampering,Tampering with system prompt templates or context assembly parameters allows jailbreak exploits.,"Store prompt templates as immutable, verified code modules with integrity hashes.",Implementation,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,8.1
25,P4: LLM Integration Service,Process,Repudiation,"P4 fails to log external LLM API usage, tokens consumed, latency, and error responses from provider.","Maintain structured telemetry capturing request hashes, token metrics, model versions, and response status.",Verification,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,4.3
26,P4: LLM Integration Service,Process,Information Disclosure,Server-side LLM provider API credentials or excessive unapproved document context leaked in prompts or logs.,Store API keys in KMS / Secret Manager; redact secrets from logs; enforce strict data minimization on context.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5
27,P4: LLM Integration Service,Process,Denial of Service,Exhaustion of upstream LLM provider API rate limits or connection pool blocking all assistant interactions.,"Implement circuit breakers, token-bucket rate limiters, backoff retries, and informative fallback messages.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
28,P4: LLM Integration Service,Process,Elevation of Privilege,Unsanitized LLM responses executed as shell commands or unvalidated deserialization of LLM JSON output.,Never evaluate LLM outputs as executable code; validate structured data strictly against Pydantic schemas.,Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8
29,DS1: Server Storage Repository,Data Store,Tampering,Direct tampering or unauthorized modification of stored user files and document contents on the filesystem / object store.,"Enforce strict filesystem ACLs, write-only/read-only service separation, and SHA-256 file integrity checksums.",Design,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,7.2
30,DS1: Server Storage Repository,Data Store,Repudiation,"File deletion or content modification in storage occurs without audit trail, obscuring insider data destruction.",Enable storage access logging and object versioning with write-once-read-many (WORM) retention policies.,Verification,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:H/A:N,4.9
31,DS1: Server Storage Repository,Data Store,Information Disclosure,Unauthorized direct access or misconfigured bucket permissions exposing stored confidential user documents.,"Enforce AES-256 encryption at rest, private bucket policies, and restrict direct access to P2 service account only.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5
32,DS1: Server Storage Repository,Data Store,Denial of Service,Storage capacity exhaustion via unconstrained file uploads causing storage failure and preventing new uploads.,"Implement per-user and per-organization storage quotas, automated cleanup of temporary files, and capacity alerts.",Implementation,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,6.5
33,DS2: User / Permission Database,Data Store,Tampering,"Unauthorized alteration of file ownership, permission tables, or user identity records in database.","Apply database role separation, parameterized queries, row-level security, and audit trigger logs.",Design,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,7.2
34,DS2: User / Permission Database,Data Store,Repudiation,"Permission grants, revocations, or account changes occur without logging, preventing forensic attribution.",Maintain immutable audit tables for all permission and ownership modifications with operator ID.,Verification,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:H/A:N,4.9
35,DS2: User / Permission Database,Data Store,Information Disclosure,"SQL injection or unauthorized database read reveals all user identities, permissions, and file metadata.","Enforce database encryption at rest, secure credential storage, and network isolation from public access.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5
36,DS2: User / Permission Database,Data Store,Denial of Service,Database connection flooding or heavy locking queries causing authorization failure (which must fail closed).,"Configure connection pooling, query performance indexes, read-replicas, and fail-closed security defaults.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
37,DF1: File Upload Request,Data Flow,Tampering,MITM tampering alters uploaded file contents or metadata during transmission over public network.,Enforce HTTPS / TLS 1.3 with strict HSTS preloading on upload endpoints.,Design,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N,5.9
38,DF1: File Upload Request,Data Flow,Information Disclosure,Eavesdropping on unencrypted upload stream intercepts confidential file contents in transit.,Mandate TLS 1.3 encryption across all public ingress channels.,Implementation,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,5.9
39,DF1: File Upload Request,Data Flow,Denial of Service,Slowloris or large payload upload flood saturating frontend request buffers.,"Deploy WAF rate limiting, maximum request body size limits, and connection timeouts.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
40,DF2: Uploaded File + Metadata,Data Flow,Tampering,Internal network attacker tampers with forwarded file bytes or user identity metadata.,Authenticate and encrypt inter-service communications using mTLS.,Design,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:H/A:N,5.3
41,DF2: Uploaded File + Metadata,Data Flow,Information Disclosure,Internal network sniffing intercepts uploaded document contents in transit between P1 and P2.,Enforce mTLS with strong cipher suites across all application internal network segments.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,5.3
42,DF2: Uploaded File + Metadata,Data Flow,Denial of Service,Internal file transfer buffer saturation between P1 and P2 causing service stalls.,Implement stream piping and backpressure controls on internal service endpoints.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
43,DF3: Validated File Storage Request,Data Flow,Tampering,Tampering with storage write request commands corrupting stored file bytes or storage metadata.,Use signed storage API calls and verify payload checksums (SHA-256) at storage layer.,Implementation,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,6.5
44,DF3: Validated File Storage Request,Data Flow,Information Disclosure,Storage traffic sniffing intercepts file contents written to DS1.,Encrypt all storage communication with TLS and enforce access via private VPC endpoints.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,5.3
45,DF3: Validated File Storage Request,Data Flow,Denial of Service,Storage write channel flooding exhausting IOPS capacity of Server Storage Repository.,"Throttle write rates, batch write operations, and set storage IOPS limits.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
46,DF4: File Retrieval Request,Data Flow,Tampering,Manipulation of file retrieval query parameters or path IDs in transit from user browser.,Use HTTPS with TLS 1.3 and validate parameter formats on ingress.,Design,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N,3.7
47,DF4: File Retrieval Request,Data Flow,Information Disclosure,Sniffing retrieval requests revealing requested file names and document IDs to eavesdroppers.,Mandate HTTPS/TLS 1.3 encryption across all public retrieval routes.,Implementation,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,3.7
48,DF4: File Retrieval Request,Data Flow,Denial of Service,Flooding retrieval request endpoint with rapid repetitive download requests.,"Apply edge rate limiting, user-based download quotas, and cache valid public responses.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
49,DF5: Authenticated File Access Request,Data Flow,Tampering,Internal tampering with forwarded user ID or requested file identifier between P1 and P2.,Enforce mTLS and sign forwarded authorization claims with internal JWTs.,Design,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:H/A:N,5.3
50,DF5: Authenticated File Access Request,Data Flow,Information Disclosure,Interception of file access request payloads disclosing internal user IDs and file metadata.,Encrypt all inter-service traffic with TLS 1.3.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
51,DF5: Authenticated File Access Request,Data Flow,Denial of Service,Flooding P2 file access request endpoint causing request queue backlog.,Implement internal traffic shaping and prioritize active user session requests.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
52,DF6: Authorization Verification Request,Data Flow,Tampering,Tampering with verification query parameters to check permissions against an incorrect user/role.,Use strongly typed parameterized database queries across TB3 boundary.,Design,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,6.5
53,DF6: Authorization Verification Request,Data Flow,Information Disclosure,Sniffing authorization queries exposing access patterns and user permission relationships.,Encrypt database queries using TLS with verified certificate chains.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
54,DF6: Authorization Verification Request,Data Flow,Denial of Service,Flooding authorization query channel causing lock contention in permission database.,"Index permission lookup columns, set query timeouts, and optimize connection pooling.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
55,DF7: Authorization Decision,Data Flow,Tampering,Tampering with authorization decision payload (changing deny to allow) granting unauthorized access.,Protect DB response integrity with TLS and enforce fail-closed authorization logic.,Design,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:N,6.8
56,DF7: Authorization Decision,Data Flow,Information Disclosure,Interception of authorization decision payload revealing detailed internal policy rules.,Encrypt communication with TLS and return minimal boolean allow/deny decisions.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
57,DF7: Authorization Decision,Data Flow,Denial of Service,Dropped or delayed authorization decision packets resulting in access denial (fail-closed requirement).,Configure reliable connection retries and fast failure circuits.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3
58,DF8: Authorized File Lookup,Data Flow,Tampering,Tampering with file lookup key or path between P2 and DS1 to retrieve an unintended file.,"Use sanitized, canonical storage keys and sign storage lookup requests.",Implementation,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,8.1
59,DF8: Authorized File Lookup,Data Flow,Information Disclosure,Sniffing storage lookup requests revealing document storage identifiers and paths.,Enforce TLS encryption on all storage access connections.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
60,DF8: Authorized File Lookup,Data Flow,Denial of Service,Flooding storage lookup queries exhausting storage connection thread pool.,Limit concurrent lookup requests and implement read caching for authorized assets.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
61,DF9: Requested File Content,Data Flow,Tampering,Tampering with retrieved file data stream in transit from storage repository to P2.,Verify file integrity against stored cryptographic hashes (SHA-256) upon retrieval.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:H/A:N,5.3
62,DF9: Requested File Content,Data Flow,Information Disclosure,Sniffing retrieved document content in transit across internal network.,Mandate TLS encryption for all storage read channels.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,5.3
63,DF9: Requested File Content,Data Flow,Denial of Service,Interrupted file content streaming causing partial downloads and thread starvation.,Implement resumeable downloads and chunked streaming with timeouts.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3
64,DF10: Retrieved File,Data Flow,Tampering,Internal tampering with authorized file stream returned to frontend.,Encrypt and integrity-protect internal communication using mTLS.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:H/A:N,5.3
65,DF10: Retrieved File,Data Flow,Information Disclosure,Sniffing authorized file content stream between P2 and P1.,Enforce mTLS (TLS 1.3) on all inter-service transfer routes.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,5.3
66,DF10: Retrieved File,Data Flow,Denial of Service,Internal file transfer drops delaying file delivery to frontend.,Configure resilient socket handling with automatic retries.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3
67,DF11: Document Question,Data Flow,Tampering,User question containing prompt injection or tampered in transit over public network.,Enforce HTTPS/TLS 1.3 and treat all incoming chatbot text as untrusted attacker input.,Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,5.3
68,DF11: Document Question,Data Flow,Information Disclosure,Eavesdropping on document-related question disclosing sensitive research/business inquiries.,Mandate HTTPS encryption for all AI interaction endpoints.,Implementation,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,3.7
69,DF11: Document Question,Data Flow,Denial of Service,Flooding question endpoint with massive input strings exhausting memory buffers.,Enforce max character limits (e.g. 2000 chars) and WAF rate limiting.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
70,DF12: AI Question + User/Document Context,Data Flow,Tampering,Tampering with question payload or user context forwarded from P1 to P3.,Enforce mTLS and authenticate inter-service payloads.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:N,3.1
71,DF12: AI Question + User/Document Context,Data Flow,Information Disclosure,Interception of forwarded AI request revealing user questions and targeted document IDs.,Encrypt all internal service traffic with TLS 1.3.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
72,DF12: AI Question + User/Document Context,Data Flow,Denial of Service,Flooding P3 request queue with rapid question batches.,Implement bounded worker queues with rejection backpressure.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
73,DF13: Authorized Context Request,Data Flow,Tampering,Tampering with document context request parameters to request an unauthorized document ID.,Validate that P2 performs mandatory authorization check on user and requested document ID.,Design,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,6.5
74,DF13: Authorized Context Request,Data Flow,Information Disclosure,Sniffing context request revealing targeted document IDs across internal services.,Encrypt inter-service traffic with TLS.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
75,DF13: Authorized Context Request,Data Flow,Denial of Service,Flooding P2 with context retrieval requests from AI assistant.,Rate limit context retrieval requests per user session.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
76,DF14: Authorization Verification,Data Flow,Tampering,Tampering with AI-context authorization verification query to bypass ownership checks.,Use parameterized queries and strict access control logic.,Design,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,6.5
77,DF14: Authorization Verification,Data Flow,Information Disclosure,Sniffing AI-context authorization query parameters.,Encrypt database network connections with TLS.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
78,DF14: Authorization Verification,Data Flow,Denial of Service,Flooding database with AI-related authorization checks.,Optimize database index lookups and enforce query concurrency limits.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
79,DF15: Authorization Decision,Data Flow,Tampering,Tampering with authorization decision message to falsely authorize AI context retrieval.,Protect database response integrity with TLS and enforce fail-closed logic.,Design,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:N,6.8
80,DF15: Authorization Decision,Data Flow,Information Disclosure,Interception of authorization decision payload revealing permission records.,Encrypt database connections with TLS.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
81,DF15: Authorization Decision,Data Flow,Denial of Service,Dropped authorization decision packets resulting in denied AI context retrieval (fail-closed).,Implement fast timeout fallbacks and reliable retries.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3
82,DF16: Authorized Document Retrieval,Data Flow,Tampering,Tampering with document retrieval key between P2 and DS1 for AI context extraction.,Use signed storage queries and canonical document keys.,Implementation,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,8.1
83,DF16: Authorized Document Retrieval,Data Flow,Information Disclosure,Sniffing document content retrieved from storage for AI context processing.,Enforce TLS encryption on all storage retrieval channels.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,5.3
84,DF16: Authorized Document Retrieval,Data Flow,Denial of Service,Storage read congestion delaying document context extraction for AI assistant.,Implement storage read throttling and caching of authorized text context.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3
85,DF17: Approved Document Context,Data Flow,Tampering,Tampering with approved document context in transit between P2 and P3.,Encrypt and authenticate inter-service communication with mTLS.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:N,3.1
86,DF17: Approved Document Context,Data Flow,Information Disclosure,Sniffing approved document context in transit between P2 and P3.,Enforce TLS 1.3 across all internal microservice boundaries.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,5.3
87,DF17: Approved Document Context,Data Flow,Denial of Service,Transmission drop or massive context payload stalling P3 context ingestion.,Enforce strict maximum context length limits (e.g. 50KB / 15k tokens).,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3
88,DF18: Prompt + Approved Context,Data Flow,Tampering,Tampering with assembled prompt and context payload between P3 and P4.,Authenticate inter-service payloads using mTLS and strict schema checks.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:N,3.1
89,DF18: Prompt + Approved Context,Data Flow,Information Disclosure,Interception of prompt and context data disclosing confidential document sections.,Encrypt communication with TLS 1.3.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,5.3
90,DF18: Prompt + Approved Context,Data Flow,Denial of Service,Flooding P4 prompt queue with massive prompt payloads.,Enforce bounded queue sizes and prompt token limits.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
91,DF19: Prompt + Approved Context,Data Flow,Tampering,MITM tampering with prompt and context data crossing TB4 to External LLM Provider.,Enforce strict TLS 1.3 with certificate pinning on external LLM provider connections.,Design,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N,5.9
92,DF19: Prompt + Approved Context,Data Flow,Information Disclosure,"Transmission of sensitive PII, internal credentials, or unapproved document data to external LLM provider.",Enforce data minimization and automated DLP redaction on all outbound prompt context.,Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5
93,DF19: Prompt + Approved Context,Data Flow,Denial of Service,Exhaustion of external API quota or network connection pool to external provider.,"Implement rate limiting, backoff retries, and fallback informational messages.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
94,DF20: Generated LLM Response,Data Flow,Tampering,MITM tampering or provider compromise injecting malicious instructions into generated LLM response.,Treat all LLM outputs as untrusted external data; validate response schemas.,Design,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N,5.9
95,DF20: Generated LLM Response,Data Flow,Information Disclosure,External LLM generated response leaks model training data or regurgitated context in transit.,Filter generated output using DLP patterns and content safety classifiers.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3
96,DF20: Generated LLM Response,Data Flow,Denial of Service,LLM response stream stalls or returns extremely slow token generation hanging service threads.,"Set strict HTTP response timeouts, stream token limits, and cancellation hooks.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
97,DF21: Processed AI Response,Data Flow,Tampering,Tampering with sanitized response payload between P4 and P3.,Authenticate and integrity-protect internal response communication using mTLS.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:N,3.1
98,DF21: Processed AI Response,Data Flow,Information Disclosure,Sniffing internal processed response revealing internal filtering annotations.,Encrypt inter-service traffic with TLS 1.3.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
99,DF21: Processed AI Response,Data Flow,Denial of Service,Internal communication failure delaying delivery of processed response to P3.,Configure asynchronous messaging with timeout fallbacks.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3
100,DF22: Generated Answer,Data Flow,Tampering,Tampering with generated answer stream between P3 and P1.,Enforce mTLS and validate payload integrity.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:N,3.1
101,DF22: Generated Answer,Data Flow,Information Disclosure,Sniffing generated answer payload between P3 and P1.,Encrypt internal traffic using TLS 1.3.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
