Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
137,Elevation by Changing the Execution Flow in P1 Web Frontend,Elevation Of Privilege,scenario 2,Download request with file identifier,High,Not Started,,An attacker may pass data into P1 Web Frontend in order to change the flow of program execution within P1 Web Frontend to the attacker's choosing.,,Generated
136,P1 Web Frontend May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,scenario 2,Download request with file identifier,High,Not Started,,EE1 Authenticated User may be able to remotely execute code for P1 Web Frontend.,,Generated
135,Data Flow Download request with file identifier Is Potentially Interrupted,Denial Of Service,scenario 2,Download request with file identifier,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
134,Potential Process Crash or Stop for P1 Web Frontend,Denial Of Service,scenario 2,Download request with file identifier,High,Not Started,,"P1 Web Frontend crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
133,Potential Data Repudiation by P1 Web Frontend,Repudiation,scenario 2,Download request with file identifier,High,Not Started,,"P1 Web Frontend claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
132,Cross Site Request Forgery,Elevation Of Privilege,scenario 2,File Upload Submission,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting. The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
131,Elevation by Changing the Execution Flow in P1 Web Frontend,Elevation Of Privilege,scenario 2,File Upload Submission,High,Not Started,,An attacker may pass data into P1 Web Frontend in order to change the flow of program execution within P1 Web Frontend to the attacker's choosing.,,Generated
130,P1 Web Frontend May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,scenario 2,File Upload Submission,High,Not Started,,EE1 Authenticated User may be able to remotely execute code for P1 Web Frontend.,,Generated
129,Data Flow File Upload Submission Is Potentially Interrupted,Denial Of Service,scenario 2,File Upload Submission,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
128,Potential Process Crash or Stop for P1 Web Frontend,Denial Of Service,scenario 2,File Upload Submission,High,Not Started,,"P1 Web Frontend crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
127,Potential Data Repudiation by P1 Web Frontend,Repudiation,scenario 2,File Upload Submission,High,Not Started,,"P1 Web Frontend claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
143,Elevation by Changing the Execution Flow in EE1 Authenticated User,Elevation Of Privilege,scenario 2,Retrieved File,High,Not Started,,An attacker may pass data into EE1 Authenticated User in order to change the flow of program execution within EE1 Authenticated User to the attacker's choosing.,,Generated
142,EE1 Authenticated User May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,scenario 2,Retrieved File,High,Not Started,,P1 Web Frontend may be able to remotely execute code for EE1 Authenticated User.,,Generated
141,Data Flow Retrieved File Is Potentially Interrupted,Denial Of Service,scenario 2,Retrieved File,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
140,Potential Process Crash or Stop for EE1 Authenticated User,Denial Of Service,scenario 2,Retrieved File,High,Not Started,,"EE1 Authenticated User crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
139,Potential Data Repudiation by EE1 Authenticated User,Repudiation,scenario 2,Retrieved File,High,Not Started,,"EE1 Authenticated User claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
138,Cross Site Request Forgery,Elevation Of Privilege,scenario 2,Download request with file identifier,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting. The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
162,Cross Site Request Forgery,Elevation Of Privilege,scenario 2,Document Question,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting. The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
161,Elevation by Changing the Execution Flow in P5 AI File Assistant,Elevation Of Privilege,scenario 2,Document Question,High,Not Started,,An attacker may pass data into P5 AI File Assistant in order to change the flow of program execution within P5 AI File Assistant to the attacker's choosing.,,Generated
160,P5 AI File Assistant May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,scenario 2,Document Question,High,Not Started,,EE1 Authenticated User may be able to remotely execute code for P5 AI File Assistant.,,Generated
159,Elevation Using Impersonation,Elevation Of Privilege,scenario 2,Document Question,High,Not Started,,P5 AI File Assistant may be able to impersonate the context of EE1 Authenticated User in order to gain additional privilege.,,Generated
158,Data Flow Document Question Is Potentially Interrupted,Denial Of Service,scenario 2,Document Question,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
157,Potential Process Crash or Stop for P5 AI File Assistant,Denial Of Service,scenario 2,Document Question,High,Not Started,,"P5 AI File Assistant crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
156,Data Flow Sniffing,Information Disclosure,scenario 2,Document Question,High,Not Started,,"Data flowing across Document Question may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
155,Potential Data Repudiation by P5 AI File Assistant,Repudiation,scenario 2,Document Question,High,Not Started,,"P5 AI File Assistant claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
154,EE1 Authenticated User Process Memory Tampered,Tampering,scenario 2,Document Question,High,Not Started,,"If EE1 Authenticated User is given access to memory, such as shared memory or pointers, or is given the ability to control what P5 AI File Assistant executes (for example, passing back a function pointer.), then EE1 Authenticated User can tamper with P5 AI File Assistant. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
153,Potential Lack of Input Validation for P5 AI File Assistant,Tampering,scenario 2,Document Question,High,Not Started,,Data flowing across Document Question may be tampered with by an attacker. This may lead to a denial of service attack against P5 AI File Assistant or an elevation of privilege attack against P5 AI File Assistant or an information disclosure by P5 AI File Assistant. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
152,Spoofing the P5 AI File Assistant Process,Spoofing,scenario 2,Document Question,High,Not Started,,P5 AI File Assistant may be spoofed by an attacker and this may lead to information disclosure by EE1 Authenticated User. Consider using a standard authentication mechanism to identify the destination process.,,Generated
151,Spoofing the EE1 Authenticated User Process,Spoofing,scenario 2,Document Question,High,Not Started,,EE1 Authenticated User may be spoofed by an attacker and this may lead to unauthorized access to P5 AI File Assistant. Consider using a standard authentication mechanism to identify the source process.,,Generated
163,Spoofing the P5 AI File Assistant Process,Spoofing,scenario 2,AI Answer,High,Not Started,,P5 AI File Assistant may be spoofed by an attacker and this may lead to unauthorized access to EE1 Authenticated User. Consider using a standard authentication mechanism to identify the source process.,,Generated
164,Spoofing the EE1 Authenticated User Process,Spoofing,scenario 2,AI Answer,High,Not Started,,EE1 Authenticated User may be spoofed by an attacker and this may lead to information disclosure by P5 AI File Assistant. Consider using a standard authentication mechanism to identify the destination process.,,Generated
165,Potential Lack of Input Validation for EE1 Authenticated User,Tampering,scenario 2,AI Answer,High,Not Started,,Data flowing across AI Answer may be tampered with by an attacker. This may lead to a denial of service attack against EE1 Authenticated User or an elevation of privilege attack against EE1 Authenticated User or an information disclosure by EE1 Authenticated User. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
166,P5 AI File Assistant Process Memory Tampered,Tampering,scenario 2,AI Answer,High,Not Started,,"If P5 AI File Assistant is given access to memory, such as shared memory or pointers, or is given the ability to control what EE1 Authenticated User executes (for example, passing back a function pointer.), then P5 AI File Assistant can tamper with EE1 Authenticated User. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
167,Potential Data Repudiation by EE1 Authenticated User,Repudiation,scenario 2,AI Answer,High,Not Started,,"EE1 Authenticated User claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
168,Data Flow Sniffing,Information Disclosure,scenario 2,AI Answer,High,Not Started,,"Data flowing across AI Answer may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
169,Potential Process Crash or Stop for EE1 Authenticated User,Denial Of Service,scenario 2,AI Answer,High,Not Started,,"EE1 Authenticated User crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
170,Data Flow AI Answer Is Potentially Interrupted,Denial Of Service,scenario 2,AI Answer,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
171,Elevation Using Impersonation,Elevation Of Privilege,scenario 2,AI Answer,High,Not Started,,EE1 Authenticated User may be able to impersonate the context of P5 AI File Assistant in order to gain additional privilege.,,Generated
172,EE1 Authenticated User May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,scenario 2,AI Answer,High,Not Started,,P5 AI File Assistant may be able to remotely execute code for EE1 Authenticated User.,,Generated
173,Elevation by Changing the Execution Flow in EE1 Authenticated User,Elevation Of Privilege,scenario 2,AI Answer,High,Not Started,,An attacker may pass data into EE1 Authenticated User in order to change the flow of program execution within EE1 Authenticated User to the attacker's choosing.,,Generated
174,P5 AI File Assistant Process Memory Tampered,Tampering,scenario 2,Prompt + Approved Document Context,High,Not Started,,"If P5 AI File Assistant is given access to memory, such as shared memory or pointers, or is given the ability to control what P6 LLM Integration Service executes (for example, passing back a function pointer.), then P5 AI File Assistant can tamper with P6 LLM Integration Service. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
175,Elevation Using Impersonation,Elevation Of Privilege,scenario 2,Prompt + Approved Document Context,High,Not Started,,P6 LLM Integration Service may be able to impersonate the context of P5 AI File Assistant in order to gain additional privilege.,,Generated
176,P6 LLM Integration Service Process Memory Tampered,Tampering,scenario 2,Processed AI Response,High,Not Started,,"If P6 LLM Integration Service is given access to memory, such as shared memory or pointers, or is given the ability to control what P5 AI File Assistant executes (for example, passing back a function pointer.), then P6 LLM Integration Service can tamper with P5 AI File Assistant. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
177,Elevation Using Impersonation,Elevation Of Privilege,scenario 2,Processed AI Response,High,Not Started,,P5 AI File Assistant may be able to impersonate the context of P6 LLM Integration Service in order to gain additional privilege.,,Generated
178,P5 AI File Assistant Process Memory Tampered,Tampering,scenario 2,Approved Context Request,High,Not Started,,"If P5 AI File Assistant is given access to memory, such as shared memory or pointers, or is given the ability to control what P4 File Retrieval Handler executes (for example, passing back a function pointer.), then P5 AI File Assistant can tamper with P4 File Retrieval Handler. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
179,Elevation Using Impersonation,Elevation Of Privilege,scenario 2,Approved Context Request,High,Not Started,,P4 File Retrieval Handler may be able to impersonate the context of P5 AI File Assistant in order to gain additional privilege.,,Generated
180,P4 File Retrieval Handler Process Memory Tampered,Tampering,scenario 2,Retrieved File Content,High,Not Started,,"If P4 File Retrieval Handler is given access to memory, such as shared memory or pointers, or is given the ability to control what P5 AI File Assistant executes (for example, passing back a function pointer.), then P4 File Retrieval Handler can tamper with P5 AI File Assistant. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
181,Elevation Using Impersonation,Elevation Of Privilege,scenario 2,Retrieved File Content,High,Not Started,,P5 AI File Assistant may be able to impersonate the context of P4 File Retrieval Handler in order to gain additional privilege.,,Generated
182,Spoofing of the EE2 External LLM Provider External Destination Entity,Spoofing,scenario 2,Prompt + Approved Document Context,High,Not Started,,EE2 External LLM Provider may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of EE2 External LLM Provider. Consider using a standard authentication mechanism to identify the external entity.,,Generated
183,External Entity EE2 External LLM Provider Potentially Denies Receiving Data,Repudiation,scenario 2,Prompt + Approved Document Context,High,Not Started,,"EE2 External LLM Provider claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
184,Data Flow Prompt + Approved Document Context Is Potentially Interrupted,Denial Of Service,scenario 2,Prompt + Approved Document Context,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
185,Spoofing the P6 LLM Integration Service Process,Spoofing,scenario 2,Generated LLM Response,High,Not Started,,P6 LLM Integration Service may be spoofed by an attacker and this may lead to information disclosure by EE2 External LLM Provider. Consider using a standard authentication mechanism to identify the destination process.,,Generated
186,Spoofing the EE2 External LLM Provider External Entity,Spoofing,scenario 2,Generated LLM Response,High,Not Started,,EE2 External LLM Provider may be spoofed by an attacker and this may lead to unauthorized access to P6 LLM Integration Service. Consider using a standard authentication mechanism to identify the external entity.,,Generated
187,Potential Lack of Input Validation for P6 LLM Integration Service,Tampering,scenario 2,Generated LLM Response,High,Not Started,,Data flowing across Generated LLM Response may be tampered with by an attacker. This may lead to a denial of service attack against P6 LLM Integration Service or an elevation of privilege attack against P6 LLM Integration Service or an information disclosure by P6 LLM Integration Service. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
188,Potential Data Repudiation by P6 LLM Integration Service,Repudiation,scenario 2,Generated LLM Response,High,Not Started,,"P6 LLM Integration Service claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
189,Data Flow Sniffing,Information Disclosure,scenario 2,Generated LLM Response,High,Not Started,,"Data flowing across Generated LLM Response may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
190,Potential Process Crash or Stop for P6 LLM Integration Service,Denial Of Service,scenario 2,Generated LLM Response,High,Not Started,,"P6 LLM Integration Service crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
191,Data Flow Generated LLM Response Is Potentially Interrupted,Denial Of Service,scenario 2,Generated LLM Response,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
192,Elevation Using Impersonation,Elevation Of Privilege,scenario 2,Generated LLM Response,High,Not Started,,P6 LLM Integration Service may be able to impersonate the context of EE2 External LLM Provider in order to gain additional privilege.,,Generated
193,P6 LLM Integration Service May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,scenario 2,Generated LLM Response,High,Not Started,,EE2 External LLM Provider may be able to remotely execute code for P6 LLM Integration Service.,,Generated
194,Elevation by Changing the Execution Flow in P6 LLM Integration Service,Elevation Of Privilege,scenario 2,Generated LLM Response,High,Not Started,,An attacker may pass data into P6 LLM Integration Service in order to change the flow of program execution within P6 LLM Integration Service to the attacker's choosing.,,Generated
195,Cross Site Request Forgery,Elevation Of Privilege,scenario 2,Generated LLM Response,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting. The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
