Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
30,P1 Web Frontend Interface Process Memory Tampered,Tampering,Diagram 1,Api response,High,Not Started,,"If P1 Web Frontend Interface is given access to memory, such as shared memory or pointers, or is given the ability to control what EE1 Registered User (Browser) executes (for example, passing back a function pointer.), then P1 Web Frontend Interface can tamper with EE1 Registered User (Browser). Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
31,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,Api response,High,Not Started,,EE1 Registered User (Browser) may be able to impersonate the context of P1 Web Frontend Interface in order to gain additional privilege.,,Generated
92,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,Sanitized Prompt + Approved Context,High,Not Started,,P6 LLM Integration Service may be able to impersonate the context of P5 AI Account Support Assistant in order to gain additional privilege.,,Generated
91,P5 AI Account Support Assistant Process Memory Tampered,Tampering,Diagram 1,Sanitized Prompt + Approved Context,High,Not Started,,"If P5 AI Account Support Assistant is given access to memory, such as shared memory or pointers, or is given the ability to control what P6 LLM Integration Service executes (for example, passing back a function pointer.), then P5 AI Account Support Assistant can tamper with P6 LLM Integration Service. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
94,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,Generated LLM Response,High,Not Started,,P6 LLM Integration Service may be able to impersonate the context of EE2 External LLM Provider in order to gain additional privilege.,,Generated
93,Spoofing the EE2 External LLM Provider External Entity,Spoofing,Diagram 1,Generated LLM Response,High,Not Started,,EE2 External LLM Provider may be spoofed by an attacker and this may lead to unauthorized access to P6 LLM Integration Service. Consider using a standard authentication mechanism to identify the external entity.,,Generated
96,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,Processed AI Response,High,Not Started,,P5 AI Account Support Assistant may be able to impersonate the context of P6 LLM Integration Service in order to gain additional privilege.,,Generated
95,P6 LLM Integration Service Process Memory Tampered,Tampering,Diagram 1,Processed AI Response,High,Not Started,,"If P6 LLM Integration Service is given access to memory, such as shared memory or pointers, or is given the ability to control what P5 AI Account Support Assistant executes (for example, passing back a function pointer.), then P6 LLM Integration Service can tamper with P5 AI Account Support Assistant. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
100,P1 Web Frontend Interface May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Diagram 1,Password reset request,High,Not Started,,EE1 Registered User (Browser) may be able to remotely execute code for P1 Web Frontend Interface.,,Generated
99,Data Flow Password reset request Is Potentially Interrupted,Denial Of Service,Diagram 1,Password reset request,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
98,Potential Process Crash or Stop for P1 Web Frontend Interface,Denial Of Service,Diagram 1,Password reset request,High,Not Started,,"P1 Web Frontend Interface crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
97,Potential Data Repudiation by P1 Web Frontend Interface,Repudiation,Diagram 1,Password reset request,High,Not Started,,"P1 Web Frontend Interface claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
113,Elevation by Changing the Execution Flow in P1 Web Frontend Interface,Elevation Of Privilege,Diagram 1,reset token and new password,High,Not Started,,An attacker may pass data into P1 Web Frontend Interface in order to change the flow of program execution within P1 Web Frontend Interface to the attacker's choosing.,,Generated
112,P1 Web Frontend Interface May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Diagram 1,reset token and new password,High,Not Started,,EE1 Registered User (Browser) may be able to remotely execute code for P1 Web Frontend Interface.,,Generated
111,Data Flow reset token and new password Is Potentially Interrupted,Denial Of Service,Diagram 1,reset token and new password,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
110,Potential Process Crash or Stop for P1 Web Frontend Interface,Denial Of Service,Diagram 1,reset token and new password,High,Not Started,,"P1 Web Frontend Interface crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
109,Potential Data Repudiation by P1 Web Frontend Interface,Repudiation,Diagram 1,reset token and new password,High,Not Started,,"P1 Web Frontend Interface claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
102,Cross Site Request Forgery,Elevation Of Privilege,Diagram 1,Password reset request,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting. The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
101,Elevation by Changing the Execution Flow in P1 Web Frontend Interface,Elevation Of Privilege,Diagram 1,Password reset request,High,Not Started,,An attacker may pass data into P1 Web Frontend Interface in order to change the flow of program execution within P1 Web Frontend Interface to the attacker's choosing.,,Generated
114,Cross Site Request Forgery,Elevation Of Privilege,Diagram 1,reset token and new password,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting. The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
139,Spoofing the EE1 Registered User (Browser) Process,Spoofing,Diagram 1,password reset token,High,Not Started,,EE1 Registered User (Browser) may be spoofed by an attacker and this may lead to information disclosure by External communication channel. Consider using a standard authentication mechanism to identify the destination process.,,Generated
140,Potential Lack of Input Validation for EE1 Registered User (Browser),Tampering,Diagram 1,password reset token,High,Not Started,,Data flowing across password reset token may be tampered with by an attacker. This may lead to a denial of service attack against EE1 Registered User (Browser) or an elevation of privilege attack against EE1 Registered User (Browser) or an information disclosure by EE1 Registered User (Browser). Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
141,Potential Data Repudiation by EE1 Registered User (Browser),Repudiation,Diagram 1,password reset token,High,Not Started,,"EE1 Registered User (Browser) claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
142,Data Flow Sniffing,Information Disclosure,Diagram 1,password reset token,High,Not Started,,"Data flowing across password reset token may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
143,Potential Process Crash or Stop for EE1 Registered User (Browser),Denial Of Service,Diagram 1,password reset token,High,Not Started,,"EE1 Registered User (Browser) crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
144,Data Flow password reset token Is Potentially Interrupted,Denial Of Service,Diagram 1,password reset token,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
145,EE1 Registered User (Browser) May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Diagram 1,password reset token,High,Not Started,,External communication channel may be able to remotely execute code for EE1 Registered User (Browser).,,Generated
146,Elevation by Changing the Execution Flow in EE1 Registered User (Browser),Elevation Of Privilege,Diagram 1,password reset token,High,Not Started,,An attacker may pass data into EE1 Registered User (Browser) in order to change the flow of program execution within EE1 Registered User (Browser) to the attacker's choosing.,,Generated
157,Elevation by Changing the Execution Flow in EE1 Registered User (Browser),Elevation Of Privilege,Diagram 1,Api response,High,Not Started,,An attacker may pass data into EE1 Registered User (Browser) in order to change the flow of program execution within EE1 Registered User (Browser) to the attacker's choosing.,,Generated
156,EE1 Registered User (Browser) May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Diagram 1,Api response,High,Not Started,,P1 Web Frontend Interface may be able to remotely execute code for EE1 Registered User (Browser).,,Generated
155,Data Flow Api response Is Potentially Interrupted,Denial Of Service,Diagram 1,Api response,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
154,Potential Process Crash or Stop for EE1 Registered User (Browser),Denial Of Service,Diagram 1,Api response,High,Not Started,,"EE1 Registered User (Browser) crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
153,Potential Data Repudiation by EE1 Registered User (Browser),Repudiation,Diagram 1,Api response,High,Not Started,,"EE1 Registered User (Browser) claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
152,Cross Site Request Forgery,Elevation Of Privilege,Diagram 1,authenticated api request,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting. The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
151,Elevation by Changing the Execution Flow in P1 Web Frontend Interface,Elevation Of Privilege,Diagram 1,authenticated api request,High,Not Started,,An attacker may pass data into P1 Web Frontend Interface in order to change the flow of program execution within P1 Web Frontend Interface to the attacker's choosing.,,Generated
150,P1 Web Frontend Interface May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Diagram 1,authenticated api request,High,Not Started,,EE1 Registered User (Browser) may be able to remotely execute code for P1 Web Frontend Interface.,,Generated
149,Data Flow authenticated api request Is Potentially Interrupted,Denial Of Service,Diagram 1,authenticated api request,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
148,Potential Process Crash or Stop for P1 Web Frontend Interface,Denial Of Service,Diagram 1,authenticated api request,High,Not Started,,"P1 Web Frontend Interface crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
147,Potential Data Repudiation by P1 Web Frontend Interface,Repudiation,Diagram 1,authenticated api request,High,Not Started,,"P1 Web Frontend Interface claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
234,Cross Site Request Forgery,Elevation Of Privilege,Diagram 1,Generated LLM Response,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting. The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
233,Elevation by Changing the Execution Flow in P6 LLM Integration Service,Elevation Of Privilege,Diagram 1,Generated LLM Response,High,Not Started,,An attacker may pass data into P6 LLM Integration Service in order to change the flow of program execution within P6 LLM Integration Service to the attacker's choosing.,,Generated
232,P6 LLM Integration Service May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Diagram 1,Generated LLM Response,High,Not Started,,EE2 External LLM Provider may be able to remotely execute code for P6 LLM Integration Service.,,Generated
231,Data Flow Generated LLM Response Is Potentially Interrupted,Denial Of Service,Diagram 1,Generated LLM Response,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
230,Potential Process Crash or Stop for P6 LLM Integration Service,Denial Of Service,Diagram 1,Generated LLM Response,High,Not Started,,"P6 LLM Integration Service crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
229,Data Flow Sniffing,Information Disclosure,Diagram 1,Generated LLM Response,High,Not Started,,"Data flowing across Generated LLM Response may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
228,Potential Data Repudiation by P6 LLM Integration Service,Repudiation,Diagram 1,Generated LLM Response,High,Not Started,,"P6 LLM Integration Service claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
227,Potential Lack of Input Validation for P6 LLM Integration Service,Tampering,Diagram 1,Generated LLM Response,High,Not Started,,Data flowing across Generated LLM Response may be tampered with by an attacker. This may lead to a denial of service attack against P6 LLM Integration Service or an elevation of privilege attack against P6 LLM Integration Service or an information disclosure by P6 LLM Integration Service. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
226,Spoofing the P6 LLM Integration Service Process,Spoofing,Diagram 1,Generated LLM Response,High,Not Started,,P6 LLM Integration Service may be spoofed by an attacker and this may lead to information disclosure by EE2 External LLM Provider. Consider using a standard authentication mechanism to identify the destination process.,,Generated
225,Data Flow LLM Prompt Request Is Potentially Interrupted,Denial Of Service,Diagram 1,LLM Prompt Request,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
224,External Entity EE2 External LLM Provider Potentially Denies Receiving Data,Repudiation,Diagram 1,LLM Prompt Request,High,Not Started,,"EE2 External LLM Provider claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
223,Spoofing of the EE2 External LLM Provider External Destination Entity,Spoofing,Diagram 1,LLM Prompt Request,High,Not Started,,EE2 External LLM Provider may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of EE2 External LLM Provider. Consider using a standard authentication mechanism to identify the external entity.,,Generated
237,Data Flow password reset token Is Potentially Interrupted,Denial Of Service,Diagram 1,password reset token,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
236,External Entity External communication channel Potentially Denies Receiving Data,Repudiation,Diagram 1,password reset token,High,Not Started,,"External communication channel claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
235,Spoofing of the External communication channel External Destination Entity,Spoofing,Diagram 1,password reset token,High,Not Started,,External communication channel may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of External communication channel. Consider using a standard authentication mechanism to identify the external entity.,,Generated
239,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,Token Validation Request,High,Not Started,,P3 Password Reset Token Module may be able to impersonate the context of P2 Account Management Service in order to gain additional privilege.,,Generated
238,P2 Account Management Service Process Memory Tampered,Tampering,Diagram 1,Token Validation Request,High,Not Started,,"If P2 Account Management Service is given access to memory, such as shared memory or pointers, or is given the ability to control what P3 Password Reset Token Module executes (for example, passing back a function pointer.), then P2 Account Management Service can tamper with P3 Password Reset Token Module. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
241,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,Token Validation Result,High,Not Started,,P2 Account Management Service may be able to impersonate the context of P3 Password Reset Token Module in order to gain additional privilege.,,Generated
240,P3 Password Reset Token Module Process Memory Tampered,Tampering,Diagram 1,Token Validation Result,High,Not Started,,"If P3 Password Reset Token Module is given access to memory, such as shared memory or pointers, or is given the ability to control what P2 Account Management Service executes (for example, passing back a function pointer.), then P3 Password Reset Token Module can tamper with P2 Account Management Service. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
243,Potential Excessive Resource Consumption for P2 Account Management Service or DS1 Backend User Database,Denial Of Service,Diagram 1,Password Update,High,Not Started,,"Does P2 Account Management Service or DS1 Backend User Database take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",,Generated
242,Spoofing of Destination Data Store DS1 Backend User Database,Spoofing,Diagram 1,Password Update,High,Not Started,,DS1 Backend User Database may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of DS1 Backend User Database. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
256,Cross Site Request Forgery,Elevation Of Privilege,Diagram 1,Account-Related AI Question,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting. The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
255,Elevation by Changing the Execution Flow in P1 Web Frontend Interface,Elevation Of Privilege,Diagram 1,Account-Related AI Question,High,Not Started,,An attacker may pass data into P1 Web Frontend Interface in order to change the flow of program execution within P1 Web Frontend Interface to the attacker's choosing.,,Generated
254,P1 Web Frontend Interface May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Diagram 1,Account-Related AI Question,High,Not Started,,EE1 Registered User (Browser) may be able to remotely execute code for P1 Web Frontend Interface.,,Generated
253,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,Account-Related AI Question,High,Not Started,,P1 Web Frontend Interface may be able to impersonate the context of EE1 Registered User (Browser) in order to gain additional privilege.,,Generated
252,Data Flow Account-Related AI Question Is Potentially Interrupted,Denial Of Service,Diagram 1,Account-Related AI Question,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
251,Potential Process Crash or Stop for P1 Web Frontend Interface,Denial Of Service,Diagram 1,Account-Related AI Question,High,Not Started,,"P1 Web Frontend Interface crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
250,Data Flow Sniffing,Information Disclosure,Diagram 1,Account-Related AI Question,High,Not Started,,"Data flowing across Account-Related AI Question may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
249,Potential Data Repudiation by P1 Web Frontend Interface,Repudiation,Diagram 1,Account-Related AI Question,High,Not Started,,"P1 Web Frontend Interface claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
248,Cross Site Scripting,Tampering,Diagram 1,Account-Related AI Question,High,Not Started,,The web server 'P1 Web Frontend Interface' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
