id,element,element_type,stride,threat_description,mitigation,SDL_stage,cvss_vector,cvss_score
15,P2: Authentication Service,Process,Denial of Service,Attacker floods login endpoints with computationally expensive password hashing requests (e.g. Argon2/Bcrypt) to exhaust CPU resources.,"Implement IP and subnet rate limiting, asynchronous request queueing, and proof-of-work challenges during high server load.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
16,P2: Authentication Service,Process,Elevation of Privilege,Flaws in authentication flow (e.g. logic bypass or improper handling of null/wildcard credentials) grant authenticated status to unauthorized attackers.,Conduct rigorous unit/integration testing with zero-trust validation; enforce fail-secure defaults in authentication decision trees.,Verification,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8
17,P3: Session Management Module,Process,Spoofing,"Attacker predicts or generates valid session IDs due to weak PRNG algorithms, hijacking authenticated sessions.",Generate session IDs using cryptographically secure random number generators (CSPRNG) with at least 128 bits of entropy.,Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1
18,P3: Session Management Module,Process,Tampering,"Attacker modifies session token contents or claims (e.g., in unsigned/tampered JWT tokens) to alter user identity or role.","Digitally sign session tokens with strong asymmetric keys (e.g., Ed25519/RS256); enforce strict signature verification before parsing payload.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1
19,P3: Session Management Module,Process,Repudiation,"Session creation, token regeneration, and logout/termination events are not logged, preventing tracking of compromised sessions.","Record structured audit trails for all session lifecycle operations (creation, refresh, revocation, timeout) with actor IDs.",Verification,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,4.3
20,P3: Session Management Module,Process,Information Disclosure,"Session tokens or sensitive session attributes are accidentally leaked in application logs, URL query strings, or error traces.",Sanitize logs to redact token values; pass tokens strictly via Authorization headers or secure cookies; sanitize error objects.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5
21,P3: Session Management Module,Process,Denial of Service,"Attacker triggers massive session creation requests without logging out, exhausting session store memory/table allocations.","Enforce per-user concurrent active session limits, aggressive idle timeouts, automatic cleanup of expired sessions, and storage quotas.",Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
22,P3: Session Management Module,Process,Elevation of Privilege,Session fixation vulnerability where an attacker forces a victim to use a known session token that remains valid post-login.,Always regenerate session identifiers upon successful user authentication and immediately invalidate old pre-login tokens.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,8.1
23,P4: AI Chatbot Component,Process,Spoofing,Malicious actor spoofing chatbot interaction context to present fabricated conversational history or impersonate administrative users.,Validate session identity and bind all chatbot conversational contexts to validated server-side session IDs.,Design,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,5.4
24,P4: AI Chatbot Component,Process,Tampering,Direct prompt injection via user chatbot questions overriding system guardrails and altering assistant instructions.,"Employ prompt isolation techniques (delimiters, XML tags), input sanitization, and intent classification filters before forwarding prompts.",Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,6.5
25,P4: AI Chatbot Component,Process,Repudiation,Absence of audit logging for user-submitted prompt queries and corresponding assistant responses hinders investigation of prompt injection attacks.,"Log user queries and chatbot outputs with session identifiers, timestamps, and safety classifier scores into secure audit storage.",Verification,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,4.3
26,P4: AI Chatbot Component,Process,Information Disclosure,"Chatbot displays sensitive authentication context (e.g., user account status, internal system architecture) to unauthorized users.","Enforce strict data minimization when passing context to chatbot; strip all secrets, password hashes, and tokens from conversational context.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5
27,P4: AI Chatbot Component,Process,Denial of Service,"Attacker sends an excessive volume of long or complex queries to the chatbot component, starving compute resources.","Impose strict rate limits per user/session, limit max input token length, and implement asynchronous query processing with timeouts.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
28,P4: AI Chatbot Component,Process,Elevation of Privilege,Chatbot is tricked by malicious prompts into providing instructions or hallucinating administrative authorization tokens to users.,"Ensure chatbot outputs are treated as untrusted informational text only, never processed as authorization decisions or security tokens.",Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1
29,P5: LLM Integration Service,Process,Spoofing,Unauthorized internal service or rogue client impersonates the AI Chatbot component to send unauthenticated prompt requests to LLM Integration Service.,Require mutual TLS (mTLS) or internal service token authentication for all incoming calls to the LLM Integration Service.,Design,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,8.1
30,P5: LLM Integration Service,Process,Tampering,"Tampering with system prompt templates or context formatting logic, leading to jailbroken prompt executions.","Store prompt templates as immutable, cryptographically verified code assets; apply integrity checks before prompt assembly.",Implementation,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,8.1
31,P5: LLM Integration Service,Process,Repudiation,"LLM Integration Service fails to log outbound LLM requests, provider token usage, and provider error codes, impeding audit trails.","Record end-to-end trace IDs, provider model IDs, token usage, latency, and request/response hashes in centralized telemetry.",Verification,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,4.3
32,P5: LLM Integration Service,Process,Information Disclosure,Exposure of server-side LLM provider API keys or confidential internal system prompts in error responses or logs.,Store API keys in dedicated Secret Managers (e.g. HashiCorp Vault / Cloud KMS); redact secret credentials from all logs and traces.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5
33,P5: LLM Integration Service,Process,Denial of Service,Exhaustion of upstream LLM API quotas or connection thread pool due to slow responses or lack of client backpressure.,"Configure circuit breakers, request timeouts, token bucket rate limiters, and exponential backoff retry mechanisms.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
34,P5: LLM Integration Service,Process,Elevation of Privilege,Unchecked execution of LLM output commands or unvalidated deserialization of structured JSON payloads returned from LLM provider.,Never execute LLM output as code or commands; validate all structured JSON outputs against strict Pydantic/JSON schemas.,Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8
35,DS1: User Database,Data Store,Tampering,"Direct tampering or unauthorized modification of stored user accounts, credential hashes, or authorization metadata.","Enforce database role-based access control (RBAC), principle of least privilege, row-level security, and database integrity checksums.",Design,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,7.2
36,DS1: User Database,Data Store,Repudiation,"Modifications or deletions of records in the User Database occur without immutable audit logging, preventing forensic attribution.",Enable database binary audit logging with immutable write-to-cloud retention and cryptographic log chaining.,Verification,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:H/A:N,4.9
37,DS1: User Database,Data Store,Information Disclosure,Unauthorized access or SQL injection leading to massive exfiltration of password hashes and personal user account records.,"Implement AES-256 encryption at rest, secure password hashing using Argon2id/bcrypt with unique salts, and database network isolation.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5
38,DS1: User Database,Data Store,Denial of Service,Resource exhaustion via connection flooding or unindexed table scans causing database downtime and preventing user authentication.,"Configure connection pooling, query performance indexes, read-replicas, and query execution timeout thresholds.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
39,DS2: Session Storage,Data Store,Tampering,Direct manipulation of active session records in session cache/database to elevate privileges or extend session lifetimes indefinitely.,"Enforce strict network isolation, ACLs, and authenticate session store connections with TLS and strong credentials.",Design,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,7.2
40,DS2: Session Storage,Data Store,Repudiation,"Session invalidation, eviction, or forced termination events are not recorded in session store audit history.","Implement event-driven session auditing capturing eviction triggers, admin revocations, and expired session purges.",Verification,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:L/A:N,2.7
41,DS2: Session Storage,Data Store,Information Disclosure,Unauthenticated or unauthorized access to session store discloses all active user session tokens and session metadata.,Encrypt session store data at rest and in transit; require strong authentication for Redis/Memcached/DB session store instances.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5
42,DS2: Session Storage,Data Store,Denial of Service,Memory overflow or key eviction in session cache resulting in wholesale session dropping and system-wide user logouts.,"Implement volatile-lru eviction policies, provision dedicated memory sizing, configure alerts for memory thresholds, and set explicit TTLs.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
43,DS3: Knowledge Base / Context Repository,Data Store,Tampering,Knowledge base poisoning where an attacker inserts deceptive authentication guidance or backdoor instructions into knowledge documents.,"Require strict write authorization, multi-party code/document reviews, version control, and cryptographic integrity verification.",Design,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:L/I:H/A:N,5.5
44,DS3: Knowledge Base / Context Repository,Data Store,Repudiation,Unrecorded modifications to authentication documentation and contextual repository items allow untracked malicious content injection.,Maintain immutable commit logs and change tracking with digital signatures for all knowledge base document modifications.,Verification,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:L/A:N,2.7
45,DS3: Knowledge Base / Context Repository,Data Store,Information Disclosure,Knowledge Base contains unredacted confidential authentication architecture specs or internal credentials that are leaked to unauthorized readers.,Curate knowledge base content to contain only public/approved user guidance; execute automated DLP scans before ingestion.,Implementation,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,6.5
46,DS3: Knowledge Base / Context Repository,Data Store,Denial of Service,Corruption or resource starvation of the knowledge base search index preventing retrieval of authentication assistance context.,"Replicate knowledge base indexes across multiple nodes, maintain regular snapshots, and enforce query rate limiting.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
47,DF1: Registration Request,Data Flow,Tampering,Man-in-the-middle tampering alters user registration details (e.g. changing requested username or email) during transit.,"Enforce HTTPS with TLS 1.3, strict cipher suites, and HSTS headers on all registration endpoints.",Design,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N,5.9
48,DF1: Registration Request,Data Flow,Information Disclosure,Eavesdropping on unencrypted or poorly encrypted registration data exposing initial user passwords and registration info in transit.,Mandate end-to-end TLS encryption and disallow insecure fallback protocols across all network communication.,Implementation,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,5.9
49,DF1: Registration Request,Data Flow,Denial of Service,HTTP request flooding with large registration request payloads saturating ingress bandwidth.,"Deploy Web Application Firewall (WAF), HTTP flood rate limiting, and maximum body size restrictions.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
50,DF2: Registration Data,Data Flow,Tampering,Internal network attacker alters validated registration parameters between Web Frontend and Authentication Service.,Enforce internal mTLS and cryptographically signed service-to-service payloads.,Design,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:H/A:N,5.3
51,DF2: Registration Data,Data Flow,Information Disclosure,Plaintext registration data intercepted on internal network segment disclosing raw user passwords.,Encrypt all inter-service communication with mTLS (TLS 1.3) and avoid cleartext internal protocols.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,5.3
52,DF2: Registration Data,Data Flow,Denial of Service,Inter-service message queue / network link congestion between frontend and auth service dropping registration requests.,"Provision dedicated internal network capacity, configure message queue backpressure, and set connection limits.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
53,DF3: Account Creation,Data Flow,Tampering,Manipulation of database insert commands during account creation altering role assignments or hashed passwords.,Use strongly parameterized database statements and validate strict schema constraints on DB write channels.,Implementation,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,6.5
54,DF3: Account Creation,Data Flow,Information Disclosure,Database network sniffing intercepts new account records and password hashes in transit to User Database.,Enforce SSL/TLS encryption on all database client connections with verified root certificates.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,5.3
55,DF3: Account Creation,Data Flow,Denial of Service,Massive account creation transactions flooding database transaction log and exhausting write IOPS.,"Enforce registration throttling per IP, transaction batching, and database write rate limits.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
56,DF4: Registration Result,Data Flow,Tampering,Tampering with registration result messages in transit to falsely indicate registration success to the frontend.,Protect internal service responses with cryptographic message authentication codes (HMAC) / mTLS.,Design,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:N,3.1
57,DF4: Registration Result,Data Flow,Information Disclosure,"Registration result message contains verbose internal database errors, schema details, or server stack traces.","Sanitize all response payloads to return standard, non-verbose status codes and error messages.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3
58,DF4: Registration Result,Data Flow,Denial of Service,Dropping or interrupting registration response packets leaving frontend in an indeterminate waiting state.,Implement client/server request timeout and exponential retry handling.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3
59,DF5: Login Request,Data Flow,Tampering,Interception and manipulation of login credentials submitted over insecure networks.,Mandate TLS 1.3 encryption across all public endpoints with strict HSTS preloading.,Design,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N,5.9
60,DF5: Login Request,Data Flow,Information Disclosure,Interception of plaintext credentials over the wire via TLS stripping or weak cipher suites.,"Disable legacy TLS versions (< TLS 1.2), require strong modern ciphers (ECDHE-RSA-AES256-GCM), and enforce HSTS.",Implementation,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,5.9
61,DF5: Login Request,Data Flow,Denial of Service,High-volume automated credential submission exhausting Web Frontend request listener pools.,"Deploy edge rate limiting, Cloudflare/WAF DDoS protection, and progressive delays on repeated login attempts.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
62,DF6: Credential Submission,Data Flow,Tampering,Tampering with credential payloads forwarded from Web Frontend to Authentication Service.,Enforce mTLS and cryptographically signed payloads between internal microservices.,Design,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:H/A:N,5.3
63,DF6: Credential Submission,Data Flow,Information Disclosure,Eavesdropping on internal microservice network capturing cleartext passwords sent to Authentication Service.,Encrypt all internal RPC / REST communications with mTLS and enforce zero-trust service mesh networking.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,5.3
64,DF6: Credential Submission,Data Flow,Denial of Service,Flooding internal credential submission channel causing request timeouts and cascading authentication service failures.,"Implement internal traffic shaping, priority queueing for authentication requests, and service circuit breakers.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
65,DF7: Credential Verification Query,Data Flow,Tampering,SQL injection / parameter tampering on credential verification queries modifying query filters to bypass password checks.,Use strictly parameterized queries and prepared statements for all database lookups.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8
66,DF7: Credential Verification Query,Data Flow,Information Disclosure,Sniffing database queries containing queried usernames revealing target account names to eavesdroppers.,Enforce TLS encryption on all database transport links with strict client/server certificate verification.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
67,DF7: Credential Verification Query,Data Flow,Denial of Service,Flooding database query pipeline with expensive or unindexed lookup queries causing database lock contention.,"Index username columns, enforce strict query timeouts, and limit concurrent database connections.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
68,DF8: Authentication Verification Result,Data Flow,Tampering,Forging or altering database verification responses to simulate a successful password match.,Secure database connection with mTLS and validate record signatures / checksums upon receipt.,Design,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:H/A:N,5.3
69,DF8: Authentication Verification Result,Data Flow,Information Disclosure,Interception of database response containing stored password hashes crossing internal networks.,Encrypt database network traffic using TLS and limit retrieved columns strictly to required validation fields.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,5.3
70,DF8: Authentication Verification Result,Data Flow,Denial of Service,Packet drop or network failure during database response delivery causing authentication verification timeouts.,Configure reliable transport protocols with automatic connection retry and failover replicas.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3
71,DF9: Session Creation Request,Data Flow,Tampering,Unauthorized injection or modification of session creation requests without prior credential validation.,Authenticate and authorize internal RPC requests between Authentication Service and Session Management Module using mTLS tokens.,Design,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,6.5
72,DF9: Session Creation Request,Data Flow,Information Disclosure,Sniffing internal session creation payloads exposing authenticated user identities and session metadata.,Encrypt internal service-to-service communication with TLS 1.3.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
73,DF9: Session Creation Request,Data Flow,Denial of Service,Flooding session creation request pipeline exhausting session manager processing threads.,Implement rate limiting and token bucket throttling on internal session creation endpoints.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
74,DF10: Session Token,Data Flow,Tampering,Tampering with session token payload in transit between Session Management Module and Web Frontend.,Sign tokens with strong cryptographic signatures (HMAC-SHA256 / Ed25519) and verify integrity before processing.,Implementation,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N,5.9
75,DF10: Session Token,Data Flow,Information Disclosure,"Interception or leakage of newly generated session tokens in transit, allowing session hijacking.","Transmit tokens strictly over TLS; set Set-Cookie headers with Secure, HttpOnly, and SameSite=Strict flags.",Implementation,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,5.9
76,DF10: Session Token,Data Flow,Denial of Service,Dropping session token transmission packets preventing users from receiving authenticated credentials.,Ensure reliable HTTP response delivery with client retry mechanisms.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3
77,SF1: Session Persistence / Lookup,Data Flow,Tampering,Tampering with session storage read/write queries altering session expiration or user roles.,Enforce authenticated and encrypted communication with Session Storage and validate storage commands.,Design,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:H/A:N,5.3
78,SF1: Session Persistence / Lookup,Data Flow,Information Disclosure,Interception of session persistence commands exposing all active session keys on internal network.,Enable TLS encryption for all session storage (Redis/DB) connections.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,5.3
79,SF1: Session Persistence / Lookup,Data Flow,Denial of Service,Flooding session persistence lookup pipeline with invalid session IDs exhausting cache bandwidth.,Implement bloom filters for quick invalid key rejection and rate limit lookup queries.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
80,SF2: Session Record / Validation Result,Data Flow,Tampering,Tampering with session validation result messages to falsely mark expired or invalid sessions as active.,Cryptographically authenticate internal session validation payloads using mTLS / HMAC.,Design,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:H/A:N,5.3
81,SF2: Session Record / Validation Result,Data Flow,Information Disclosure,Session validation result flow transmits excessive session secrets to the AI Chatbot rather than minimal boolean status.,Apply strict data minimization: provide only minimal boolean validity or safe non-sensitive user attributes to the AI Chatbot.,Implementation,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,6.5
82,SF2: Session Record / Validation Result,Data Flow,Denial of Service,Delays or dropped packets in session validation flow causing application requests to hang.,Configure low socket timeouts with fast failure paths for session validation queries.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3
83,DF11: Chatbot Question,Data Flow,Tampering,User question modified in transit or containing injected control directives across TB1 trust boundary.,Enforce TLS 1.3 on chatbot endpoint and treat all incoming chatbot text as untrusted attacker input.,Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,5.3
84,DF11: Chatbot Question,Data Flow,Information Disclosure,Eavesdropping on chatbot questions revealing user confidential authentication queries and account concerns.,Mandate HTTPS encryption for all chatbot API traffic.,Implementation,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,3.7
85,DF11: Chatbot Question,Data Flow,Denial of Service,Flooding the chatbot question ingestion endpoint with massive input strings exhausting memory buffers.,"Enforce max payload length (e.g., 2000 chars), WAF rate limiting, and request timeouts.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
86,DF12: Prompt Request,Data Flow,Tampering,Tampering with assembled prompt request payload between AI Chatbot and LLM Integration Service.,Authenticate and integrity-protect inter-service calls using mTLS and strict schema validation.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:N,3.1
87,DF12: Prompt Request,Data Flow,Information Disclosure,"Inadvertent inclusion of session tokens, passwords, or internal application secrets in prompt request.",Implement automated secret detection and PII scrubbing before constructing prompt requests.,Implementation,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,6.5
88,DF12: Prompt Request,Data Flow,Denial of Service,Rapid succession of prompt requests exhausting internal prompt queue buffers in LLM Integration Service.,Implement bounded worker queues with rejection backpressure on internal prompt endpoints.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
89,SF3: Approved Context Query,Data Flow,Tampering,Tampering with context search query parameters to retrieve unauthorized or restricted knowledge base documents.,Enforce strict parameter validation and restrict query scopes to approved public authentication guidance.,Design,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,5.4
90,SF3: Approved Context Query,Data Flow,Information Disclosure,Interception of context query terms exposing internal application search indexes and search patterns.,Encrypt knowledge base query traffic with TLS 1.3.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
91,SF3: Approved Context Query,Data Flow,Denial of Service,Flooding knowledge base with complex wildcard or regular expression queries degrading retrieval performance.,"Sanitize query syntax, disable wildcard abuse, and enforce per-service query rate limits.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
