Threat ID,Threat Name,Threat Source,Affected Component,Affected Asset,Affected Data Flow,Affected Trust Boundary,Attack Vector or Exploitation Path,Security Impact,Evidence / Reasoning,AI/LLM Specific,STRIDE Category,Severity,Primary Category
S3-T-11,Brute-force and automated guessing of verification factors and tokens,OWASP Application Security,P2 Account Recovery Service,Identity verification data; recovery tokens,"DF2, DF3, DF6",TB1; TB2; TB4,"The attacker submits large numbers of recovery attempts on DF2, iterating candidate verification answers evaluated across TB2, or iterating candidate token values evaluated against DS2 across TB4, until one is accepted.","Recovery succeeds through exhaustive search rather than knowledge, which is decisive where verification factors are short or where token values are drawn from a small space.","DF2 crosses TB1 with no stated attempt limit, and each attempt causes P2 to consult either DS1 on DF3 or DS2 on DF6. Verification factors and recovery tokens are both comparatively low-entropy secrets relative to a password, so their security depends materially on limiting the number of attempts rather than on the secret alone. The architecture places no such limit at P2.",No,Spoofing,High,Account Recovery Security
S3-T-12,Insufficient logging of recovery decisions and token issuance,OWASP Application Security,P2 Account Recovery Service,Session and account recovery state; recovery information,"DF3, DF4, DF5, DF7",TB1; TB2; TB4,"Verification outcomes, token issuance events and recovery completions are not recorded in a protected and attributable form, so an attacker who succeeds under S3-T-01, S3-T-02 or S3-T-09 leaves no reconstructable trace and the legitimate owner cannot demonstrate that a recovery was not performed by them.","Undetected account takeover, inability to reconstruct incident scope, and the legitimate account holder being unable to repudiate actions performed by an attacker who recovered their account.","P2 is the only element that observes the verification exchange with DS1 across TB2 on DF3 and DF4, the token write to DS2 across TB4 on DF5, and the outcome delivered across TB1 on DF7, so it is the only point at which these events can be recorded. No logging or monitoring element appears anywhere in the architecture. Account recovery is the highest-value action in this system, which makes non-repudiation of it a first-order requirement rather than an operational nicety.",No,Repudiation,Medium,Account Recovery Security
S3-T-13,Insufficient authorization verification during profile updates,Architecture-specific analysis,P3 Profile Management Service; DS1 User Database,Profile information; user account information,"DF8, DF9",TB1; TB3,"The attacker submits a profile update request on DF8 identifying a subject other than themselves, or altering fields they are not entitled to change. P3 validates and writes the change to DS1 on DF9 without an authorization check sufficient to establish that the requester is entitled to modify the addressed record.","Modification of another user's stored profile information, including attributes that later participate in identity verification, without the requester being entitled to make the change.","Profile update requests are processed by the Profile Management Service. If authorization checks are insufficient before modifying account information, attackers may modify profile data belonging to another user. In this architecture P3 receives the request on DF8 from P1, which is driven by untrusted input crossing TB1 on DF1, and writes the result to DS1 on DF9 across TB3, the boundary that exists because profile updates modify stored account information. The strength of the authorization performed inside P3 is therefore the only control on that write path. This threat makes no assumption about how or where that authorization is implemented and does not presume any additional verification component; it states the consequence if the check performed is insufficient. The affected assets are profile information and user account information.",No,Elevation of Privilege,Critical,Profile Management Security
S3-T-14,Unauthorized modification of another user's profile through identifier substitution,OWASP Application Security,P3 Profile Management Service,Profile information; user account information,"DF8, DF9",TB1; TB3,"An authenticated user substitutes another subject's identifier in the profile update request carried on DF8, and P3 composes the write issued on DF9 around the client-supplied identifier rather than around the identity bound to the requesting session.","Unauthorised alteration of other users' stored account information, with the change persisted in DS1 as though legitimately made by its owner.","The subject identifier used in the DF9 write originates on the untrusted side of TB1 and reaches P3 unchanged on DF8, so authentication of the requester does not by itself constrain which record is addressed across TB3. Distinct from S3-T-13, which concerns the absence of any depicted authorization source at all; this threat concerns the binding between the requester's identity and the record addressed, and would remain applicable even if an authorization source existed.",No,Elevation of Privilege,High,Profile Management Security
S3-T-15,Modification of security-relevant profile attributes to enable later recovery,Architecture-specific analysis,P3 Profile Management Service; DS1 User Database; P2 Account Recovery Service,Identity verification data; recovery information; profile information,"DF8, DF9, DF3, DF4",TB1; TB2; TB3,"The attacker uses the profile path to alter attributes that the recovery path later consults as verification material, such as contact details, security answers or recovery destinations, writing them through DF9 into DS1 and then initiating a recovery request on DF2 that verifies successfully against the attacker's own values.","Conversion of a limited profile-write capability into full account takeover, with both steps appearing individually legitimate and the recovery itself passing verification correctly.","DS1 is stated to hold profile information, recovery-related information and verification information in the same store, and it is written by P3 across TB3 on DF9 while being read by P2 across TB2 on DF3 and DF4. The architecture therefore permits the write path to modify the data on which the read path bases identity decisions, but it depicts no distinction between ordinary profile fields and security-relevant fields, and no re-verification requirement when the latter change. This coupling between TB3 and TB2 through a shared store is specific to this architecture and is the basis of chain C2.",No,Tampering,Critical,Profile Management Security
S3-T-16,Mass assignment of restricted fields through the profile update request,OWASP Application Security,P3 Profile Management Service,Profile information; user account information,"DF8, DF9",TB1; TB3,"The attacker adds attributes to the profile update request on DF8 that the interface does not expose, such as role, entitlement, account status or verification-related fields, and P3 propagates the supplied attribute set into the write on DF9 without restricting it to a permitted subset.","Elevation of the attacker's own privileges or alteration of account state that no legitimate profile operation should permit, achieved through the ordinary profile function.","The scenario states that users manage permitted profile information, which implies that a subset of stored fields is modifiable and the remainder is not, but the architecture places no element on the path between DF8 and DF9 that enforces that subset. Because the request crosses TB1 from the untrusted environment and is written across TB3 into DS1, the permitted-field boundary is an application-level control that must be modelled explicitly rather than assumed from the wording of the requirement.",No,Elevation of Privilege,High,Profile Management Security
S3-T-17,Insufficient validation of profile content written to storage,OWASP Application Security,P3 Profile Management Service; DS1 User Database,Profile information; data integrity of stored account information,"DF8, DF9",TB1; TB3,"The attacker submits profile values on DF8 that are excessively long, malformed, or contain active markup or control sequences, and P3 writes them to DS1 on DF9 without canonicalisation or constraint, or composes the write in a way that allows the supplied content to alter the meaning of the storage operation.","Corruption of stored account information, storage of content that is hostile when later rendered, and in the injection case, modification of records beyond the one the request addressed.","DF9 is the only write path into DS1 depicted for the profile function and it crosses TB3, the boundary that exists because profile updates modify stored account information. The content written originates on the untrusted side of TB1, so the integrity of DS1 depends entirely on validation performed inside P3, which the architecture asserts occurs but does not characterise.",No,Tampering,High,Profile Management Security
S3-T-18,Profile changes performed without confirmation or notification to the account holder,Architecture-specific analysis,P3 Profile Management Service,Profile information; recovery information,"DF8, DF9",TB1; TB3,"An attacker who has obtained a session, or who exploits S3-T-14, changes profile attributes without any confirmation step, and the legitimate account holder receives no notification and therefore no opportunity to detect or reverse the change before it is used under S3-T-15.","Silent modification of account information, removing the account holder as a detection control and extending the window in which the change can be exploited.","The architecture depicts profile update as a single unacknowledged write from P3 to DS1 across TB3 on DF9, with no return flow to P1 and no notification path to the user across TB1. For an operation that can alter the data underpinning the recovery decisions made by P2 across TB2, the absence of any confirmation or out-of-band notification element is a design property with direct security consequence.",No,Repudiation,Medium,Profile Management Security
S3-T-19,Unauthorized access to backend recovery and profile functionality,OWASP Application Security,P2 Account Recovery Service; P3 Profile Management Service; P1 Web Frontend Interface,User account information; profile information; recovery tokens,"DF2, DF8",TB1,"The attacker attempts to reach the operations of P2 and P3 without passing through the restrictions applied by P1, for example by reconstructing or replaying the requests that P1 issues on DF2 and DF8, or by omitting or forging request properties that P1 normally supplies.","Any sequencing, filtering or contextual restriction implemented only in P1 ceases to constrain what reaches P2 and P3, exposing the recovery and profile operations in unfiltered form.","If backend functionality is exposed without proper authentication and authorization enforcement, attackers may attempt to bypass intended frontend restrictions and interact with protected operations. DF2 and DF8 are the only inputs to P2 and P3 respectively, and both originate from P1, which sits immediately inside TB1 and is itself driven by untrusted input arriving on DF1. The architecture does not state whether P2 and P3 are reachable other than through P1, so this threat is expressed as a requirement that each service enforce its own authentication and authorization rather than as an assertion of external exposure.",No,Elevation of Privilege,High,Profile Management Security
S3-T-20,Disclosure of identity verification data held in the user database,STRIDE-derived,DS1 User Database,Identity verification data; user account information; profile information,"DF3, DF4, DF9",TB2; TB3,"An actor obtains bulk read access to DS1, whether through the injection path of S3-T-10, through an over-broad service principal shared by P2 and P3, or through an unprotected copy, replica or backup of the store.","Exposure of the verification material protecting every account, which permanently degrades the recovery control for the entire user population because verification answers, unlike passwords, cannot be rotated.","DS1 is the single store holding account information, profile information, recovery information and verification information, and it is reachable in the model only through P2 across TB2 on DF3 and DF4 and through P3 across TB3 on DF9. Applying STRIDE to the store yields a disclosure case distinct from the flow-level threats. The severity reflects an asymmetry specific to recovery systems: compromised verification data cannot be reset the way a credential can.",No,Information Disclosure,Critical,Data Protection
S3-T-21,Disclosure of active recovery tokens held in token storage,STRIDE-derived,DS2 Recovery Token Storage,Recovery tokens; session and account recovery state,"DF5, DF6",TB4,"An actor with read access to DS2, obtained through weak isolation between application services and the token store or through an over-broad principal, extracts the population of active tokens rather than attacking any single recovery flow.","Immediate takeover of every account with an outstanding recovery token, and, where tokens are stored in directly usable form, no need for any further attack step.","DS2 holds active tokens, which are credential-equivalent bearer secrets, and is reachable in the model only through P2 across TB4 on DF5 and DF6. TB4 exists because recovery tokens represent sensitive authentication state, so the confidentiality of the store behind it is the boundary's purpose. The architecture does not state that tokens are stored in a non-replayable form, so the possibility that stored values are directly usable must be modelled.",No,Information Disclosure,High,Data Protection
S3-T-22,Excessive disclosure of account and recovery information in responses,OWASP Application Security,P2 Account Recovery Service; P1 Web Frontend Interface,Recovery information; user account information; identity verification data,"DF4, DF7",TB1; TB2,"The response returned on DF7 discloses more than the requester requires, such as partial contact details, the configured verification factors, account status, or fragments of stored profile data drawn from the DF4 result, which the attacker harvests through ordinary recovery attempts.",Reconnaissance that materially raises the success rate of S3-T-02 and S3-T-09 by revealing which factors to target and which destinations to influence.,"Verification results returned by DS1 on DF4 across TB2 are consumed by P2 when composing the outcome it returns across TB1 on DF7. Recovery interfaces routinely disclose partial identifiers to help legitimate users, so the quantity of information released on DF7 is a deliberate design decision that the architecture leaves unspecified, and its over-generosity is a recognised failure mode of this specific function.",No,Information Disclosure,Medium,Data Protection
S3-T-23,Interception of recovery and profile data in transit across the user boundary,STRIDE-derived,P1 Web Frontend Interface,Recovery tokens; identity verification data; profile information,"DF1, DF7",TB1,"An actor on the network path observes or modifies the recovery and profile requests carried on DF1, or the recovery result and token carried on DF7, where transport protection is absent, downgraded or improperly validated.","Disclosure of verification answers and recovery tokens, and modification of profile update content before it reaches the application.","DF1 and DF7 are the flows crossing TB1 between the untrusted user environment and P1, and they carry the two most sensitive payloads in the system: the verification material supplied during recovery and the token issued after it. TB1 is defined as the point at which the environment ceases to be under application control, so transport protection on these flows is the only barrier to observation.",No,Information Disclosure,High,Data Protection
S3-T-24,Exposure of recovery details through verbose errors and diagnostics,OWASP Application Security,P1 Web Frontend Interface; P2 Account Recovery Service; P3 Profile Management Service,Identity verification data; recovery information; system configuration metadata,"DF7, DF9 error paths",TB1; TB2; TB3,"Unhandled conditions in P2 or P3 return stack traces, query fragments, internal identifiers or verification-state details to the client, revealing how the verification sequence is evaluated and where it can be influenced.","Reconnaissance supporting S3-T-01, S3-T-10 and S3-T-13, and occasional direct disclosure of stored values embedded in diagnostic output.","Error content generated by P2 while interacting with DS1 across TB2, and by P3 while writing to DS1 across TB3, is returned to the untrusted environment across TB1 on the DF7 response path. In a recovery system this is more consequential than in ordinary applications, because diagnostic detail about why a verification failed is precisely the feedback an attacker needs to refine an impersonation attempt.",No,Information Disclosure,Medium,Data Protection
S3-T-25,Exposure of credentials used for external LLM communication,OWASP Application Security,P5 LLM Integration Service,Authentication material used for external LLM communication,DF12,TB5,"Whatever authentication material P5 uses to communicate with the external provider is inadequately protected: embedded in source or in a deployed artefact, retained in configuration or log output, or exposed to the client in a variant where the browser contacts the provider directly.","Unauthorised chargeable use of the organisation's provider account, access to provider-side data associated with the credential, and loss of attribution for prompts submitted under it.","The application requires some form of authentication mechanism when communicating with the external LLM provider, and improper protection of that material may allow unauthorized use of the service. P5 is the only element that crosses TB5 on DF12, so the material authorising that crossing is used at exactly one component and is reviewed as a boundary-attached secret. The architecture does not describe a credential management component and this threat assumes no particular storage implementation. Classified as not AI-specific because the concern is classical secret protection applying to any authenticated third-party integration at an egress process.",No,Information Disclosure,High,Data Protection
S3-T-26,Denial of service against the account recovery service,STRIDE-derived,P2 Account Recovery Service; DS1 User Database,Recovery availability; user account information,"DF2, DF3, DF6",TB1; TB2; TB4,"The attacker floods the recovery function with requests on DF2, consuming the processing capacity of P2 together with its connections to DS1 on DF3 and to DS2 on DF6.","Legitimate users locked out of their accounts cannot recover them, which is a severe availability outcome because recovery is the last resort for users who already have no access.","DF2 crosses TB1 with no stated rate constraint, and every request causes P2 to interact with DS1 across TB2 and potentially with DS2 across TB4. The impact is aggravated by the function's nature: the affected population is precisely those users who are already unable to authenticate, so no alternative path exists for them.",No,Denial of Service,Medium,Availability
S3-T-27,Recovery token generation abuse and token storage exhaustion,Architecture-specific analysis,P2 Account Recovery Service; DS2 Recovery Token Storage,Recovery tokens; recovery availability,"DF2, DF5",TB1; TB4,"The attacker repeatedly triggers the recovery flow so that P2 generates and writes tokens to DS2 on DF5, either exhausting the capacity of the token store or, where an attacker can drive issuance for a victim account, flooding the account holder with recovery artefacts as a pretext for social engineering.","Growth of the active-token population, which enlarges the attack surface of S3-T-03 and S3-T-21, degradation or exhaustion of DS2, and harassment of targeted account holders.","Every accepted recovery request causes a write across TB4 on DF5, and no element limits how many tokens may be outstanding for an account or in total. Distinct from S3-T-26 in that the exhausted resource is the token store and the population of valid tokens rather than the processing capacity of P2, and the control required is issuance limiting rather than request throttling.",No,Denial of Service,Medium,Availability
S3-T-28,Loss of assistant availability through external provider disruption,Architecture-specific analysis,P5 LLM Integration Service; P4 AI Account Support Assistant; E2 External LLM Provider,Assistant availability; recovery availability,"DF12, DF13",TB5,"The external provider becomes unavailable, throttles requests or responds with high latency, so requests issued on DF12 do not complete and pending requests accumulate in P5 and P4 while awaiting DF13.","Loss of guidance for users attempting recovery, and, where P4 and P5 share request-handling capacity with P1, exhaustion of that capacity degrading the recovery and profile paths that have no dependency on the provider.","DF12 and DF13 form a synchronous dependency across TB5 on an entity outside the platform's control, and P5 has no alternative source of generated responses. Because the assistant's stated purpose includes account recovery guidance, its unavailability disproportionately affects users who are already locked out. The substantive concern is containment of propagation into the recovery path rather than the assistant outage itself.",Yes,Denial of Service,Medium,Availability
S3-T-29,Unbounded consumption of the assistant processing path,OWASP LLM Security,P4 AI Account Support Assistant; P5 LLM Integration Service,Assistant availability; provider quota; user AI queries,"DF10, DF11, DF12",TB1; TB5,"The attacker submits high-frequency questions on DF10, or questions constructed to maximise the assembled context and the generated output, so that each request maximises the processing performed beyond TB5.","Degradation of assistant availability, accumulation of pending work in P4 and P5, and consumption of the platform's provider quota, denying the assistant to legitimate users through billing rather than capacity.","DF10 crosses TB1 directly into P4 with no stated size or rate constraint, and the resulting DF12 crossing of TB5 carries a cost that scales with prompt and response length, both attacker-influenced. Request-count limiting is therefore structurally insufficient and token-budget limiting is required.",Yes,Denial of Service,Medium,Availability
S3-T-30,Unauthorized inclusion of sensitive account context in AI prompts,Architecture-specific analysis,P4 AI Account Support Assistant,Context information sent to LLM; user account information; recovery information,"DF10, DF11, DF12",TB1; TB5,"The attacker submits a question on DF10 that causes account-related information belonging to another user, or information beyond what the question requires, to be included in the contextual information P4 places on DF11 and P5 transmits on DF12.","Disclosure of another user's account or recovery information, either to the external provider across TB5 or back to the requester on DF15, obtaining through the assistant information the recovery path protects with verification.","The AI Account Support Assistant sends user questions and approved contextual information to the External LLM Service. If sensitive contextual information is included without proper authorization filtering, confidential account-related information may be exposed. In this architecture the question reaches P4 across TB1 on DF10, and the assembled prompt and context cross TB5 on DF12 by way of P5. The qualifier approved describes a filtering control that must be applied before that crossing, and the architecture states its intended effect without depicting where it is enforced. This threat concerns the sufficiency of that filtering and assumes no additional retrieval system. The affected assets are context information sent to the LLM, user account information and recovery information.",Yes,Information Disclosure,Critical,LLM-Specific
S3-T-31,Direct prompt injection through the account-related question,OWASP LLM Security,P4 AI Account Support Assistant; P5 LLM Integration Service; E2 External LLM Provider,User AI queries; context information sent to LLM; generated AI responses,"DF10, DF11, DF12, DF13",TB1; TB5,"The user submits a question on DF10 constructed as instruction rather than as a query, directing the model to disregard prior instructions, to reveal the context supplied with the prompt, or to produce guidance outside the intended support function. P4 incorporates the text when creating the prompt and P5 transmits it on DF12.","Disclosure of the account-related context present in the prompt window, and production of attacker-chosen text that the platform presents to the user on DF15 as authoritative account support guidance.","DF10 carries arbitrary natural-language input from the untrusted environment across TB1 into P4, whose stated responsibility is creating prompts. The assembled prompt combines that untrusted text with approved account-related context and crosses TB5 on DF12, where the provider receives one undifferentiated input and cannot distinguish instruction from data. Severity is bounded below Critical because the architecture grants the assistant no authority: it cannot verify identity, generate tokens, modify accounts or reach DS1, so direct impact is limited to disclosure of prompt content and manipulation of returned text.",Yes,Tampering,High,LLM-Specific
S3-T-32,Indirect prompt injection through attacker-controlled profile content,OWASP LLM Security,P3 Profile Management Service; DS1 User Database; P4 AI Account Support Assistant,Context information sent to LLM; generated AI responses; profile information,"DF8, DF9, DF11, DF12, DF13, DF14, DF15",TB1; TB3; TB5,"The attacker writes instruction-bearing text into a profile field through DF8 and DF9, so that it is stored in DS1. When account-related context drawn from that stored data is later assembled by P4 and transmitted across TB5 on DF12, the provider acts on the embedded instruction, and the manipulated result returns on DF13 and reaches a user on DF14 and DF15.","Attacker control over assistant behaviour without the attacker submitting the triggering question, including manipulated recovery guidance delivered to a support agent or to the account holder inside a trusted interface.","The injection point is stored data inside the application rather than the question field, so any inspection applied to DF10 does not observe it. This threat depends on a specific coupling that exists in this architecture: DS1 holds profile information that users can write across TB3 on DF9, and the same store holds the account-related information from which assistant context is drawn. Distinct from S3-T-31 in injection point, in the identity of the victim, and in the required control, which is treatment of stored account data as untrusted when it enters a prompt.",Yes,Tampering,High,LLM-Specific
S3-T-33,Disclosure of account and recovery information to the external LLM provider,OWASP LLM Security,P4 AI Account Support Assistant; P5 LLM Integration Service,Context information sent to LLM; identity verification data; recovery information,"DF11, DF12",TB5,"Context assembled by P4 is transmitted by P5 across TB5 on DF12 to a service outside the platform's control. Exposure is amplified where the assembled context includes verification-related or recovery-related attributes, or where the user pastes a recovery token or verification answer directly into a question on DF10.","Irreversible disclosure of account and potentially verification-related information to a third party, with no application-side means of retraction once the crossing has occurred.","TB5 is defined as the boundary at which user questions and contextual information leave the application, and DF12 is the flow that realises it. Because this system's context is account support material, the data most likely to be included is precisely the data that protects accounts. The risk arises at the moment the application transmits information outward and is therefore controllable by the platform through minimisation and scoping at P4 and P5, which distinguishes it from S3-T-34.",Yes,Information Disclosure,High,LLM-Specific
S3-T-34,Provider-side retention or reuse of transmitted context,OWASP LLM Security,E2 External LLM Provider,Context information sent to LLM; user AI queries,"DF12, DF13, DF15",TB5,"Context and questions transmitted on DF12 are retained by the provider after the response is produced. A subsequent breach, legal compulsion, sub-processor change or reuse of that material exposes content the platform believed it processed transiently, and where retained content influences a model, later queries may surface material submitted earlier by other users.","Long-tail confidentiality and compliance exposure across the entire history of DF12 traffic, outside the platform's visibility and beyond the reach of any deletion performed in DS1.","Context transferred to an external LLM provider may be retained or processed according to provider policies, creating potential confidentiality and compliance concerns. Deleting or altering data in DS1 across TB2 or TB3 has no effect on content already transmitted across TB5 on DF12. This threat is distinguished from S3-T-33 by where the risk originates: S3-T-33 concerns the application's outbound act, which is technically controllable, whereas this concerns the provider's subsequent handling of what it received, which is addressable only contractually. Severity is Medium because the exposure represents privacy, governance and compliance concerns rather than direct system compromise.",Yes,Information Disclosure,Medium,LLM-Specific
