Threat ID,Threat Name,Threat Source,Affected Component,Affected Asset,Affected Data Flow,Affected Trust Boundary,Attack Vector or Exploitation Path,Security Impact,Evidence / Reasoning,AI/LLM Specific,STRIDE Category,Severity,Primary Category
S2-T-11,Broken object-level authorization allowing access to another user's file,OWASP Application Security,P2 File Management Service,Uploaded files; document contents; access permissions,"DF5, DF6, DF7, DF8",TB1; TB3,"An authenticated user substitutes another user's file identifier in the access request carried on DF5. P2 confirms that the session is authenticated but evaluates the DF6 authorization request without binding it to the specific object requested, or evaluates ownership against the identifier the client supplied.","Any authenticated account can retrieve the documents of any other account, which is a complete failure of the confidentiality guarantee the platform exists to provide.","TB3 exists because access-control decisions depend on permission information held in DS2, and P2 is the sole element that consults it via DF6 and DF7. The object identifier used in that decision arrives from the untrusted side of TB1 on DF5, so authentication of the requester does not constrain which object is addressed. This threat covers horizontal privilege escalation between peer users, which shares this identifier-substitution path. This threat is distinguished from S2-T-12 as follows: here the authorization check is performed but is incorrect at the object level, because P2 does not bind the decision obtained on DF6 and DF7 to the specific object identified in the DF5 request, so a decision that is valid for the requester is applied to an object they do not own. S2-T-12 covers the different case in which the retrieval proceeds without a valid decision having been obtained at all.",No,Information Disclosure,Critical,Authorization
S2-T-12,File retrieval performed without a completed authorization check,Architecture-specific analysis,P2 File Management Service,Document contents; access permissions,"DF6, DF7, DF8, DF9",TB2; TB3,"A logic or error-handling defect in P2 causes the file lookup on DF8 to proceed when the decision returned on DF7 is a denial, is absent, or could not be evaluated, for example where a failure in the DS2 consultation is handled by continuing rather than by refusing.","Files are retrieved from DS1 and returned on DF10 despite an explicit or implicit denial, defeating the authorization control without any need to manipulate identifiers.","The architecture depicts DF6 and DF7 between P2 and DS2 across TB3, and DF8 and DF9 between P2 and DS1 across TB2, as separate exchanges, but contains no element inside P2 that enforces the ordering or the dependency between them. Nothing in the model requires that a permit decision on DF7 precede the lookup on DF8. This threat is derived from reading the sequence in this specific diagram rather than from a checklist, and it is mechanically distinct from S2-T-11 because no identifier substitution is involved. This threat is distinguished from S2-T-11 as follows: here the object-level permission model may be entirely correct, but the check is not completed or not consulted before P2 issues the lookup on DF8 across TB2, so no valid decision exists at the moment of retrieval. S2-T-11 covers the different case in which a check is completed but is evaluated against the wrong object.",No,Elevation of Privilege,Critical,Authorization
S2-T-13,Vertical privilege escalation through permission record manipulation,OWASP Application Security,DS2 User/Permission Database; P2 File Management Service,Access permissions; user identity information,"DF6, DF7",TB3,"The attacker causes their own permission record in DS2 to be elevated, for example to an administrative or elevated-access role, so that subsequent decisions returned on DF7 permit access to objects belonging to any user.","Persistent authorized access to the entire document population, indistinguishable at the retrieval path from legitimate privileged use.","DS2 holds user identity information, file ownership and access permissions, and is the authority consulted across TB3 on DF6 and DF7. Distinct from S2-T-11 because the attacker does not address another user's object directly but instead changes the record against which the decision is computed, converting a one-off access into a durable privilege.",No,Elevation of Privilege,High,Authorization
S2-T-14,Injection into the authorization verification query,STRIDE-derived,P2 File Management Service; DS2 User/Permission Database,Access permissions; user identity information,"DF5, DF6, DF7",TB1; TB3,"User-controlled values arriving on DF5, such as the file identifier or user reference, are incorporated into the authorization verification request on DF6 in a manner that allows the attacker to alter the query's meaning, producing a permit decision on DF7 or extracting permission records.",Authorization bypass for arbitrary objects and disclosure of the ownership and permission structure of the entire platform.,"DF6 is the flow on which untrusted input that crossed TB1 is transformed into a request interpreted by DS2 across TB3. Because DS2 is the authority for access-control decisions, a query-manipulation defect at this crossing does not merely leak data but subverts the control itself, which is the stated reason TB3 exists.",No,Tampering,Critical,Authorization
S2-T-15,Tampering with the authorization decision in transit,STRIDE-derived,P2 File Management Service; DS2 User/Permission Database,Authorization decision; access permissions,DF7,TB3,"An actor positioned between DS2 and P2, or able to influence the response channel, alters the decision carried on DF7 from deny to permit, or replays a previously issued permit decision for a different request.","P2 proceeds to retrieve and return a file on DF8 to DF10 for a request that DS2 actually denied, with the retrieval path showing no anomaly.","DF7 is the only flow that carries the authorization decision across TB3, and P2 acts on it without any other source of truth. The architecture states that access-control decisions depend on permission information, which makes the integrity of this specific flow the foundation of the entire access-control model. Distinct from S2-T-13 in that the stored record is unchanged and only the response is manipulated.",No,Tampering,High,Authorization
S2-T-16,Unauthorized modification of permission records at rest,STRIDE-derived,DS2 User/Permission Database,Access permissions; file ownership; user identity information,"DF6, DF7",TB3,"An actor with reach to DS2, whether through an over-privileged application principal, an exposed interface, or a defect elsewhere in the application, modifies ownership or permission entries directly rather than through P2.","Silent reassignment of file ownership and access rights across the platform, causing every subsequent decision on DF7 to be computed from attacker-controlled data.","Applying STRIDE to the DS2 data store yields a tampering case that is not covered by the flow-oriented threats, because the manipulation occurs behind TB3 rather than on the DF6 or DF7 crossing. DS2 is the sole authority for access permissions in this architecture, so its integrity bounds the correctness of every authorization outcome.",No,Tampering,High,Authorization
S2-T-17,File identifier enumeration through response differentiation,OWASP Application Security,P2 File Management Service,File metadata; document existence information,"DF5, DF7, DF10",TB1; TB3,"The attacker iterates over identifiers in access requests on DF5 and distinguishes existing from non-existing objects, and permitted from denied objects, by comparing response codes, message content or response timing observed on DF10.","Disclosure of the existence, quantity and ownership structure of other users' documents, and production of a validated target list that raises the yield of S2-T-11 and S2-T-12.","The decision produced by DS2 on DF7 across TB3 becomes externally observable because its consequence is reflected back across TB1 on DF10. The asset disclosed is metadata rather than content, so the threat is realised even where the object-level authorization control in P2 functions correctly.",No,Information Disclosure,Medium,Authorization
S2-T-18,Identity spoofing on the authenticated file access request,STRIDE-derived,P1 Web Frontend Interface; P2 File Management Service,User identity information; access permissions; document contents,"DF4, DF5",TB1; TB3,"The attacker forges or replays the identity assertion that accompanies the access request on DF5, causing P2 to compose its DF6 authorization request around an identity the attacker does not hold.","Retrieval of another user's documents through a request that the authorization logic correctly permits, because the decision is computed for the spoofed identity.","DF5 is described as an authenticated file access request, but the assertion it carries is produced on the path from P1, which receives untrusted input on DF4 across TB1. The correctness of the decision returned on DF7 across TB3 is bounded by the authenticity of the identity supplied to DS2, so a defect in identity assertion propagates through a functioning authorization mechanism.",No,Spoofing,High,Authorization
S2-T-19,Unauthorized access to storage repository due to insufficient isolation,Architecture-specific analysis,DS1 Server Storage Repository,Uploaded files; document contents; file metadata,"DF3, DF8, DF9",TB2,"An actor who obtains a foothold in the application environment, or who benefits from weak segmentation or over-broad access rights between application services and the storage layer, reads or writes objects in DS1 without the operation passing through P2 and therefore without any consultation of DS2 across TB3.","Disclosure or modification of stored documents and metadata independently of the access-control logic, because the path used does not involve the component in which that logic resides.","Insufficient isolation or incorrect access controls between application services and storage components may expose stored files or metadata. TB2 exists because application logic accesses sensitive documents, and DF3, DF8 and DF9 are the only depicted crossings of it. All authorization is performed by P2 using the records in DS2, so any interaction with DS1 that does not traverse P2 inherits no access control. The architecture does not state that DS1 is publicly reachable, and this threat makes no such assumption; it concerns the strength of the isolation between the application services in Zone B and the storage component in Zone C. The affected assets are uploaded files, document contents and file metadata.",No,Information Disclosure,Critical,Data Security
S2-T-20,Unauthorized modification or deletion of stored files,STRIDE-derived,P2 File Management Service; DS1 Server Storage Repository,Uploaded files; document contents; file integrity,"DF3, DF8",TB2; TB3,"The attacker issues modification or deletion operations against objects owned by other users, exploiting the absence of an ownership check on the write path or reusing the identifier-substitution technique of S2-T-11 against a destructive operation.","Irreversible loss or silent alteration of other users' documents, with no recovery path described in the architecture.",The architecture depicts DF3 as a write crossing TB2 into DS1 and depicts authorization consultation on DF6 and DF7 only in relation to file access. Integrity and availability of stored content therefore depend on a check that the model does not show applied to destructive operations. The affected asset is the stored document itself rather than its confidentiality.,No,Tampering,High,Data Security
S2-T-21,Disclosure of stored documents through absent protection at rest,OWASP Application Security,DS1 Server Storage Repository,Document contents; uploaded files; file metadata,"DF3, DF9",TB2,"An actor obtaining a copy of the underlying storage, a snapshot or a backup of DS1 reads document content and metadata directly from the stored representation.","Irreversible bulk disclosure of every document held by the platform, affecting all users simultaneously and bypassing all logical controls.","DS1 holds uploaded files, document contents and metadata as its stated assets, and sits behind TB2, reachable in the model only through P2 on DF3, DF8 and DF9. TB2 is a logical boundary enforced by P2 and provides no protection against an actor operating at the storage layer itself, so protection of the stored representation is the only remaining control for this path.",No,Information Disclosure,High,Data Security
S2-T-22,Excessive file metadata disclosure in retrieval responses,Architecture-specific analysis,P2 File Management Service; P1 Web Frontend Interface,File metadata; user identity information,"DF9, DF10",TB1; TB2,"The response assembled by P2 and returned on DF10 includes metadata beyond what the requester requires, such as internal storage paths, owner identifiers, upload origin or system attributes, which the attacker harvests from ordinary retrieval responses.","Reconnaissance that supports S2-T-04, S2-T-11 and S2-T-17, and disclosure of information about other users and the internal structure of DS1.","File content and metadata are returned together from DS1 across TB2 on DF9, and P2 forwards the result across TB1 on DF10. Metadata is an explicitly listed asset and is stored alongside content in DS1, so it is present at the point where the outbound response is composed, and its exclusion is a deliberate act that the architecture does not describe.",No,Information Disclosure,Medium,Data Security
S2-T-23,Interception of document content in transit across the user boundary,STRIDE-derived,P1 Web Frontend Interface,Document contents; user identity information,"DF1, DF4, DF10",TB1,"An actor on the network path observes or modifies the upload on DF1, the retrieval request on DF4, or the returned file on DF10, capturing document content and session material or substituting altered file content.","Disclosure of sensitive document contents and of the identity material used to authenticate subsequent requests, and delivery of modified content to the user.","DF1, DF4 and DF10 are the flows crossing TB1 between the untrusted user environment and P1. TB1 is defined as the point at which the environment ceases to be under application control, so transport protection on these three flows is the only barrier to observation, and the assets carried are the platform's most sensitive.",No,Information Disclosure,High,Data Security
S2-T-24,Stored cross-site scripting through uploaded file content,OWASP Application Security,P1 Web Frontend Interface; P2 File Management Service,User identity information; document contents; user browser context,"DF2, DF9, DF10",TB1; TB2,"The attacker uploads a document containing active markup through DF2. When it is later retrieved on DF9 and returned on DF10, P1 renders it inline rather than treating it as inert data, and the embedded script executes in the victim's authenticated browser context.","Execution of attacker script as the victim, enabling capture of session material, retrieval of the victim's documents through DF4 and DF5, and actions performed under the victim's identity.","Uploaded content crosses TB1 inbound on DF2, is stored in DS1 across TB2, and returns across TB1 outbound on DF10 into P1, which is stated to provide the file retrieval interface. The content is attacker-authored at every stage and no neutralisation step is described, so the retrieval path returns untrusted markup into a trusted rendering context.",No,Elevation of Privilege,High,Data Security
S2-T-25,Insufficient logging of file access and authorization events,OWASP Application Security,P2 File Management Service,Audit records; accountability over file access,"DF2, DF3, DF5, DF6, DF8",TB1; TB2; TB3,"Unauthorized retrieval, overwrite or deletion actions are performed across the upload and retrieval paths in an environment where these events are not recorded in a protected, attributable form, and the actor subsequently denies them or evades detection.","Exploitation of S2-T-05, S2-T-11, S2-T-12 and S2-T-20 proceeds undetected, incident scope cannot be reconstructed, and actions cannot be attributed to an identity.","P2 is the only element that observes every crossing of TB2 on DF3, DF8 and DF9 and every authorization decision at TB3 on DF6 and DF7, so it is the only point at which these events can be recorded. No logging or monitoring capability appears anywhere in the architecture, and DS2 records identity but not activity.",No,Repudiation,Medium,Data Security
S2-T-26,Denial of service against the File Management Service,STRIDE-derived,P2 File Management Service,File upload and retrieval availability,"DF2, DF5, DF6, DF8",TB1,"The attacker issues a high volume of upload requests on DF2 or access requests on DF5, consuming the processing capacity of P2 together with its connections to DS2 on DF6 and to DS1 on DF8.","Loss of both upload and retrieval availability for all users, because P2 is the single element through which every crossing of TB2 and TB3 must pass.","P2 performs validation, metadata management and authorization for every request, and both of its inputs, DF2 and DF5, arrive from the untrusted side of TB1 with no stated rate constraint. Distinct from S2-T-06 in that the exhaustion is driven by request volume rather than by the content of an individual file, and distinct from S2-T-07 in that the exhausted resource is service capacity rather than storage.",No,Denial of Service,Medium,Data Security
S2-T-27,Exposure of credentials used for external LLM communication,OWASP Application Security,P4 LLM Integration Service,Authentication material used for external LLM communication,DF13,TB4,"Whatever authentication material P4 uses to communicate with the external provider is inadequately protected: embedded in source or in a deployed artefact, retained in configuration or log output, transmitted or stored without protection, or exposed to the client in a variant where the browser contacts the provider directly.","Chargeable use of the organisation's provider account by third parties, access to any provider-side data associated with the credential, and loss of attribution for prompts submitted under it.","The application requires some form of authentication mechanism when communicating with the external LLM provider. Improper protection of these credentials may allow unauthorized use of the service. P4 is the only element that crosses TB4 on DF13, so whatever authenticates that crossing is held at or used by exactly one component and is reviewed as a boundary-attached secret. The architecture does not describe a credential management component, and this threat assumes no particular storage implementation; it addresses the protection requirement that arises from the existence of the TB4 crossing itself. Classified as not AI-specific because the concern is classical secret protection and would apply to any authenticated third-party integration at an egress process, independent of model behaviour.",No,Information Disclosure,High,Data Security
S2-T-28,Unauthorized document context assembly on the assistant path,Architecture-specific analysis,P3 AI File Assistant,Document contents; access permissions; document context sent to the LLM,"DF11, DF12, DF13",TB1; TB4,"The attacker submits a question on DF11 that references a document belonging to another user. Because P3 has no depicted flow to P2 or to DS2, the document context it places on DF12 is assembled through a path that is not shown to consult the authorization records in DS2 across TB3.","Disclosure of other users' document contents in summarised or paraphrased form, achieving the outcome of S2-T-11 while never traversing the retrieval path on which the authorization control is implemented.","This is the central architectural finding of Scenario 2. The system states that the assistant does not bypass authorization and does not make access-control decisions, yet the diagram contains no flow between P3 and P2, and none between P3 and DS2 across TB3. P3 receives questions across TB1 on DF11 and emits document context across TB4 on DF13, so the stated restriction is an assumption rather than a control represented anywhere in the model. The absence of this flow is recorded as a modelling gap.",Yes,Elevation of Privilege,Critical,LLM-Specific
S2-T-29,Direct prompt injection through the user question,OWASP LLM Security,P3 AI File Assistant; P4 LLM Integration Service; External LLM Provider,User questions; document context sent to the LLM; generated responses,"DF11, DF12, DF13, DF14",TB1; TB4,"The user submits a question on DF11 constructed as instruction rather than as a query, directing the model to disregard prior instructions, to reveal the context supplied to it, or to produce output beyond the intended document-assistance function. P3 incorporates the text during prompt preparation and P4 transmits it on DF13.","Disclosure of the document context present in the prompt window, generation of content outside the intended function, and production of attacker-chosen text that the platform then presents as an assistant response on DF16.","DF11 carries arbitrary natural-language input from the untrusted user environment across TB1 into P3, whose stated responsibility is prompt preparation. The assembled prompt combines that untrusted text with approved document context and crosses TB4 on DF13, where the provider receives it as a single undifferentiated input with no means of distinguishing instruction from data. Severity is bounded below Critical because the assistant holds no authority to modify or delete files.",Yes,Tampering,High,LLM-Specific
S2-T-30,Indirect prompt injection through uploaded document content,OWASP LLM Security,DS1 Server Storage Repository; P3 AI File Assistant; External LLM Provider,Document context sent to the LLM; generated responses; document contents,"DF2, DF3, DF12, DF13, DF14, DF15, DF16",TB1; TB2; TB4,"The attacker uploads a document containing embedded instructions through DF2, which is validated and stored in DS1 via DF3. When that document is later supplied as context in the prompt crossing TB4 on DF13, the provider acts on the embedded instructions, and the manipulated result returns on DF14 and reaches the user on DF15 and DF16.","Attacker control over assistant behaviour for any user who asks about the document, including falsified summaries, elicitation of other context present in the prompt window, and delivery of attacker-chosen content inside a trusted interface.","The injection point is stored content inside the application rather than the question field, so any inspection applied to DF11 does not observe it. Attacker-authored content crosses TB1 inbound on DF2, is stored in DS1 across TB2, and is later transmitted across TB4 on DF13 where it is interpreted as part of the instruction stream. Where documents are shared between users, the effect is persistent and affects every user who queries the document rather than only the uploader.",Yes,Tampering,High,LLM-Specific
S2-T-31,Disclosure of sensitive document content to the external LLM provider,OWASP LLM Security,P3 AI File Assistant; P4 LLM Integration Service; External LLM Provider,Document contents; document context sent to the LLM; user questions,"DF12, DF13",TB4,"Document context assembled by P3 is transmitted by P4 across TB4 on DF13 to a service outside the platform's control. Exposure occurs through ordinary operation and is amplified where the selected context includes more of the document than the question requires, or where the user pastes sensitive content directly into the question on DF11.","Irreversible disclosure of document content to a third party whose handling of that content is outside the platform's control, with no application-side means of retraction once the crossing has occurred.","TB4 is defined as the boundary at which document information and user prompts leave the application, and DF13 is the flow that realises it. The external provider is an external entity, so once content has crossed, no control located in P3 or P4 applies to it. The scope-selection failure is included here rather than as a separate threat because the asset, the boundary crossing and the mitigation, namely minimisation of what enters the prompt, are the same. This threat is distinguished from S2-T-39 by where the risk originates: the risk here arises at the moment the application transmits sensitive information outward on DF13, and is therefore controllable by the platform through context minimisation and scoping at P3 and P4, whereas S2-T-39 concerns the provider's subsequent retention and processing of information it has already received.",Yes,Information Disclosure,High,LLM-Specific
S2-T-32,Cross-user context leakage within the assistant pipeline,Research-based LLM Threat,P3 AI File Assistant; P4 LLM Integration Service,Document context sent to the LLM; user questions; generated responses,"DF11, DF12, DF15, DF16",TB1; TB4,"Shared or incorrectly separated prompt and conversation state within P3 or P4 causes one user's document context or prior questions to be incorporated into another user's prompt on DF12 and DF13, or causes a response returned on DF15 to be delivered to the wrong requester on DF16.","Disclosure of one user's document content and questions to a different user, delivered with the platform's authority inside the legitimate interface.","P3 and P4 are single logical processes serving all users, receiving every question across TB1 on DF11 and returning every response on DF16, and no per-user separation of prompt-preparation state is described. Document context and user questions are explicitly listed assets held transiently in that state. Distinct from S2-T-31 in that the recipient is another platform user across TB1 rather than the external provider across TB4.",Yes,Information Disclosure,Medium,LLM-Specific
S2-T-33,Extraction of assistant instructions through elicitation,OWASP LLM Security,P3 AI File Assistant; External LLM Provider,System instructions; document context sent to the LLM,"DF11, DF13, DF14, DF16",TB1; TB4,"The attacker issues questions on DF11 designed to make the model reproduce the instruction text that P3 prepends during prompt preparation, for example by requesting verbatim repetition of preceding content, and receives it back on DF14 and DF16.","Disclosure of the assistant's operating instructions and any restrictions they encode, revealing how to construct more reliable injection attempts under S2-T-29, and exposing any internal identifiers embedded in the instruction text.","Prompt preparation is a stated responsibility of P3, so instruction text exists and crosses TB4 on DF13 together with the question and context. The response path DF14 to DF15 to DF16 returns model output across TB1 with no described filtering. Retained separately from S2-T-29 because the asset and the countermeasure differ: the instruction text must be treated as public rather than filtered at input.",Yes,Information Disclosure,Medium,LLM-Specific
S2-T-34,Insecure handling of generated output rendered in the browser,OWASP LLM Security,P3 AI File Assistant; P1 Web Frontend Interface,Generated responses; user identity information; user browser context,"DF14, DF15, DF16",TB4; TB1,"Through S2-T-29 or S2-T-30 the attacker induces the provider to emit active markup, event-handler attributes or scheme-based links in the response returned on DF14. P4 forwards it on DF15 and P3 returns it on DF16, where it is rendered as markup rather than as inert text.","Script execution in the victim's authenticated browser context, enabling capture of session material, retrieval of the victim's documents through the DF4 to DF10 path, and actions performed under the victim's identity.","Content returned on DF14 has crossed TB4 inbound from an external entity and is therefore untrusted and partially attacker-influenceable, yet P4 forwards it on DF15 and P3 emits it across TB1 outbound on DF16 into P1 for display, with no neutralisation element depicted in either process. This is the path by which an assistant that cannot modify or delete files still produces full compromise of the victim's session, which is why it is retained at Critical severity while the injection threats that feed it are rated High.",Yes,Elevation of Privilege,Critical,LLM-Specific
S2-T-35,Hallucinated document summaries and explanations,OWASP LLM Security,External LLM Provider; P3 AI File Assistant,Generated responses; user decisions based on document content,"DF14, DF15, DF16",TB4; TB1,"The provider generates a summary, explanation or answer that misstates the document, fabricates clauses, figures or conclusions absent from the source, or omits material terms. The result returns on DF14 and is displayed on DF16 without verification against the stored document.","Users act on inaccurate representations of their own documents, which is materially damaging where those documents are contractual, financial, medical or procedural.","The response originates beyond TB4, crosses inbound on DF14, and passes through P4 and P3 to the user on DF16 with no element responsible for comparing it against the source held in DS1. The architecture provides no flow by which P3 could obtain the authoritative document for verification, since it has no connection to P2 or DS1. Summarization and explanation are the assistant's stated functions, so accuracy of representation is the value being relied upon. No adversary is required. Mapped to Tampering under extended interpretation, because the integrity affected is that of the generated information rather than of any data flow that an attacker has modified: no boundary is crossed illegitimately and every component behaves as engineered.",Yes,Tampering,Medium,LLM-Specific
S2-T-36,Delivery of attacker-authored instructions through assistant responses,Research-based LLM Threat,P3 AI File Assistant; External LLM Provider,Generated responses; user identity information; document contents,"DF14, DF15, DF16",TB4; TB1,"Through the poisoned document of S2-T-30, or through provider compromise under S2-T-38, the response returned on DF14 contains attacker-chosen directions to the user, such as visiting an external destination, disclosing credentials, or forwarding a document elsewhere. It is displayed on DF16 as an answer to the user's own question.","Disclosure of identity material or document content to the attacker at a success rate exceeding external phishing, because the instruction arrives inside a trusted interface in direct response to the user's request.","The content is intentional and attacker-selected rather than accidental, which distinguishes it from S2-T-35 and changes the required control from accuracy to output-side destination restriction at P3. It crosses TB4 inbound on DF14 and TB1 outbound on DF16, and it is the trust context of that final crossing into P1 that converts generated text into an effective attack.",Yes,Spoofing,High,LLM-Specific
