Threat_ID,Threat_Name,Affected_Component,Affected_Data_Flow,Affected_Trust_Boundary,Affected_Asset,Attack_Vector,Security_Impact,Evidence_Reasoning,AI_LLM_Specific,STRIDE_Category,Severity,Threat_Source,Primary_Category
T-11,Missing authorisation on the chatbot interface,P4 AI Chatbot Component,"DF7, SF3",TB1,LLM context; generated responses; provider quota,"The chatbot interface is invoked directly rather than through the user interface, without presenting a valid session token, or the SF3 validation step is absent or advisory only.","Anonymous consumption of the downstream LLM pipeline, exposure of approved context and assistant behaviour to unauthenticated parties, and loss of per-user attribution for abuse.","DF7 runs from the untrusted End User directly to P4 and crosses TB1 independently of the authentication path, so P4 does not inherit any protection established by DF1 to DF6. SF3, the session-token validation exchange between P3 and P4, is the only authorisation element on this path. Classified as not AI-specific because the defect is a missing access-control check on an application endpoint; the same flaw would exist if P4 served static content, even though its consequences here are amplified by the metered downstream pipeline.",No,Spoofing / Elevation of Privilege,High,OWASP Application Security,Authorization
T-12,Cross-user context leakage between chatbot sessions,P4 AI Chatbot Component; P5 LLM Integration Service,"DF7, DF8, DF11, DF12",TB1,User prompts; LLM context; generated responses,"A shared or incorrectly keyed conversation-context buffer causes one user's prior questions or retrieved context to be incorporated into another user's prompt on DF8, or concurrency defects cause a response on DF11 to be delivered to the wrong requester on DF12.","Disclosure of one user's authentication-related questions and identifiers to a different user, delivered with the application's authority.","P4 and P5 are single logical processes that serve all users, and neither DF8 nor DF11 carries an explicit per-user key in the model. Conversation context is an inherent property of a chatbot and is required for coherent multi-turn answers, yet it is not represented as a data store in the architecture, so its isolation is unspecified. The leaked material crosses TB1 to the wrong subject on DF12. Classified as AI-specific because the leaked asset is accumulated AI context that exists only because prompts are assembled from conversational state.",Yes,Information Disclosure,Medium,Research-based LLM Threat,Authorization
T-14,Session token theft,P3 Session Management Module; P1 Web Frontend; DS2 Session Storage,"DF6, SF1",TB1; TB3,Session tokens,"Script execution in the user's browser reading a token that lacks HttpOnly protection, absence of transport-only flags allowing cleartext capture, tokens echoed into URLs or logs, or direct reading of plaintext tokens from DS2 following a storage compromise.","Full session hijack. The attacker acts as the victim without possessing credentials, which defeats password strength and every login-time control.","The session token is a bearer secret that is exposed at two distinct boundaries with two distinct control sets: it crosses TB1 on DF6 when delivered to the browser, where cookie attributes govern its protection, and it crosses TB3 on SF1 when persisted to DS2, where storage-side hashing governs its protection. Modelling both crossings prevents a partial mitigation at one boundary from being mistaken for complete coverage. This threat is the terminal node of the injection-to-takeover chain C1.",No,Spoofing / Information Disclosure,Critical,STRIDE-derived,Session Management
T-15,Predictable or weakly generated session tokens,P3 Session Management Module,"DF6, SF1",TB1,Session tokens,"Tokens derived from timestamps, sequential counters, user identifiers or a non-cryptographic generator allow an attacker to collect samples and compute or search valid identifiers belonging to other users.","Session hijack at scale with no victim interaction and no activity on the login path, therefore invisible to authentication monitoring.","Generating authentication tokens is an explicitly stated responsibility of P3, so token entropy is a property of a named process in this architecture rather than a generic concern. The generated value is exposed on DF6 across TB1, which is what gives an attacker the samples needed to infer the generator. The mitigation is generation-side and therefore distinct from the transport-side and storage-side mitigations of T-14. ASVS V3.2 applies.",No,Spoofing,High,OWASP Application Security,Session Management
T-16,Token replay and absent session invalidation,P3 Session Management Module; DS2 Session Storage,"DF6, SF1, SF3",TB1; TB3,Session tokens,"Absence of absolute or idle expiry, logout that clears only the client-side cookie without removing the DS2 record, no token rotation on privilege change, or a self-contained token that cannot be revoked before its stated expiry. The same lifecycle gap admits session fixation if P3 does not issue a fresh identifier at DF5.",Indefinite persistence of a compromised session. Logout and password change fail to evict an attacker who already holds a token.,"This threat is justified by an absence in the architecture rather than by a drawn element: the model contains a session-creation flow (DF5 from P2 to P3, then DF6), a session-persistence flow (SF1 from P3 to DS2 across TB3) and a session-validation flow (SF3 between P3 and P4), but no flow by which P3 terminates a session or removes a record from DS2. Because no element is responsible for invalidation, token lifetime is unbounded by construction, and every token that crosses TB1 on DF6 remains usable indefinitely.",No,Spoofing / Elevation of Privilege,High,Architecture-specific analysis,Session Management
T-17,Session storage compromise and record tampering,DS2 Session Storage; P3 Session Management Module,SF1,TB3,Session tokens; session state,"An exposed or weakly authenticated session store, or an over-privileged principal as described in T-09, enables bulk extraction of tokens or the insertion of forged session records that map an attacker-held token to a victim identity.","Mass session hijack across the user population, and forgery of authenticated sessions without any interaction with P2.","Applying STRIDE-per-element to the DS2 data store yields tampering and information-disclosure cases that are not covered by the transport-oriented T-14, because the attack occurs entirely behind TB3 on the SF1 path. Session stores are commonly deployed with weaker controls than the primary database despite holding assets of equivalent authority, and TB3 is drawn precisely to make that asymmetry visible.",No,Tampering / Information Disclosure,High,STRIDE-derived,Session Management
T-18,Mass disclosure of the user database,DS1 User Database,"DF3, DF4",TB3,User credentials; password hashes; account information (PII),"Injection-driven extraction as described in T-08, an over-privileged principal as described in T-09, an unprotected backup or replica, or absent encryption at rest on the underlying storage.","Catastrophic and irreversible disclosure of the entire credential population, offline cracking amplified by T-07, statutory breach-notification obligations, and cross-service reuse harm to users.","DS1 is the highest-value asset in the model and sits entirely behind TB3, reachable only through the DF3 and DF4 pair. STRIDE-per-element mandates an information-disclosure entry for every data store, and this entry is retained separately from its enabling vectors because the asset-level consequence, the detection strategy and the regulatory obligations are properties of the store rather than of any single exploit path.",No,Information Disclosure,Critical,STRIDE-derived,Data Security
T-19,Verbose error and diagnostic disclosure,P1 Web Frontend; P2 Authentication Service; P5 LLM Integration Service,DF6 and DF1 response paths; DF10 and DF12 error paths,TB1; TB2,System configuration metadata; prompt content; internal identifiers,"Unhandled exceptions return stack traces, query fragments, internal hostnames, library versions or relayed third-party error bodies to the client.","Reconnaissance that materially accelerates T-04, T-08 and T-25, with occasional direct exposure of secrets embedded in error payloads.","The threat is anchored to two boundary crossings. On TB1, error content generated by P1 and P2 is returned to the untrusted user environment on the DF1 and DF6 response paths. On TB2, P5 receives provider error bodies on DF10 that may embed the submitted request, and relaying those verbatim to the client on DF12 would carry prompt content back across TB1. Classified as not AI-specific because the underlying defect is unhandled-error propagation, which is a classical misconfiguration concern under OWASP A05 regardless of whether the upstream service is a language model.",No,Information Disclosure,Medium,OWASP Application Security,Data Security
T-20,Exposure of the external service API credential,P5 LLM Integration Service,DF9,TB2,LLM provider API credential,"The credential is hard-coded in source or in a container image, committed to version control, exposed in logs or environment dumps, or delivered to the browser in a design variant where the client contacts the provider directly.","Unbounded chargeable use of the organisation's provider account, attacker access to any provider-side data associated with the credential, and complete loss of attribution for prompts submitted under it.","Under Assumption A4 a static API credential exists at exactly one location in the architecture, namely P5, the process that performs the TB2 crossing on DF9. The credential is therefore a boundary-attached secret and is reviewed as such. Classified as not AI-specific because the vulnerability is classical secret management under OWASP A02 and A05; it would apply identically to any third-party API credential held at an egress process, and nothing about the defect depends on model behaviour.",No,Information Disclosure / Spoofing,High,OWASP Application Security,Data Security
T-21,Insufficient logging and monitoring of security-relevant events,P2 Authentication Service; P3 Session Management Module; P4 AI Chatbot Component; P5 LLM Integration Service,"DF1, DF2, DF5, DF7, DF9",TB1; TB2; TB3,Audit records; accountability,"Absent or unprotected audit records for authentication failures, session issuance, chatbot requests and outbound provider calls; no alerting thresholds; audit records writable by the same principal that generates them.","T-01 and T-02 proceed undetected, incident scope cannot be reconstructed, actions cannot be attributed to a subject, and notification timelines are missed.","STRIDE assigns repudiation to every process, and in this architecture the events that require attribution are generated by P2, P3, P4 and P5 at all three boundaries: authentication attempts reaching P2 across TB1 on DF1 and DF2, data egress from P5 across TB2 on DF9, and privileged access by P2 and P3 across TB3 on DF3 and SF1. The model records a genuine control conflict here: logging prompt content on DF9 improves attribution but simultaneously creates a new store of sensitive prompt data, which works against the minimisation control required by T-24. Classified as not AI-specific because inadequate logging is a classical concern under OWASP A09.",No,Repudiation,Medium,OWASP Application Security,Data Security
T-22,Direct prompt injection,P4 AI Chatbot Component (prompt assembly); P5 LLM Integration Service; EE2 External LLM Provider,"DF7, DF8, DF9, DF10",TB1; TB2,LLM context; system instructions; generated responses,"The user submits input that is interpreted by the model as instruction rather than as data, for example directing it to disregard prior instructions and reveal its configuration, including role-play, encoding and multilingual variants intended to evade input filtering.","Disclosure of instructions and approved context present in the prompt window, generation of content that violates the intended topic restrictions, and production of attacker-chosen text that the application subsequently presents to the user as authoritative guidance.","DF7 carries arbitrary untrusted text across TB1 into P4, and P4 assembles that text together with trusted system instructions and approved context retrieved on SF2 into a single prompt that crosses TB2 on DF9. The model receives one undifferentiated token sequence and has no reliable means of distinguishing the developer's instructions from the user's content, which is a confused-deputy condition at the prompt-assembly step in P4. Severity is assessed as High rather than Critical because the architecture grants the model no authority: it cannot authenticate users, modify accounts or reach DS1 and DS2, so the direct impact is bounded by disclosure of prompt content and manipulation of returned text. Its role as the entry point for chains C1 and C3 is where the greater risk lies.",Yes,Tampering,High,OWASP LLM Security,LLM-Specific
T-23,Indirect prompt injection through the context repository,DS3 Knowledge Base and Context Repository; P4 AI Chatbot Component,"SF2, DF8, DF9, DF10, DF11, DF12",TB3; TB2; TB1,LLM context; generated responses; integrity of published guidance,"An actor able to influence the content of DS3, whether through weak authorisation on the content-administration path, a compromised author account, or an automated import that is not subject to review, embeds instructions inside otherwise legitimate documentation. Every subsequent user whose query causes that document to be retrieved on SF2 has the embedded instruction acted upon on their behalf.","Persistent and victim-agnostic manipulation of assistant behaviour. Users can be directed towards attacker-controlled destinations, prompted to disclose authentication information, or given deliberately weakened guidance, all delivered with the application's authority.","The injection point is a data store located inside TB3 rather than the user input field, so every input-validation control applied to DF7 fails to detect it. DS3 is the only store in the model whose integrity requirement exceeds its confidentiality requirement, because its contents are retrieved on SF2, assembled into the prompt by P4, and transmitted across TB2 on DF9, where they are interpreted as part of the instruction stream. The write path to DS3 is not represented as a numbered flow in the architecture, which is recorded as a modelling gap; the authorisation weakness on that path is treated here as a precondition of this threat rather than as a separate entry, because it has no security consequence in this architecture except through prompt assembly. Blast radius is all users, persistently, which makes this the highest-leverage AI-specific threat in the model.",Yes,Tampering,High,OWASP LLM Security,LLM-Specific
T-24,Sensitive information disclosure to the external LLM provider,P4 AI Chatbot Component (prompt assembly); P5 LLM Integration Service (egress); EE2 External LLM Provider,"SF2, DF8, DF9",TB2; TB3,User prompts; LLM context; account identifiers,Three contributing paths: design-time over-inclusion of identifiers or account state in the assembled prompt; unscoped retrieval on SF2 that pulls internal-only or unclassified material from DS3 into the prompt; and user-side over-sharing where a person pastes a credential or recovery artefact into DF7 and it is forwarded verbatim.,"Irreversible disclosure of context and potentially personal data to a third party whose retention, logging, sub-processor and training practices are outside the organisation's audit scope, with associated data-protection exposure.","TB2 is defined in this model precisely because prompts and contextual information leave the application's security control, and this threat is the direct realisation of that definition: content assembled by P4 from SF2 and DF7 crosses TB2 on DF9. It is the only confidentiality loss in the model with no application-side remedy after the fact, because no control can retract transmitted content. The scope-control failure on the SF2 retrieval path is included here rather than as a separate threat because the asset, the boundary crossing and the mitigation, namely minimisation and allow-listing of what may enter the prompt, are the same.",Yes,Information Disclosure,High,OWASP LLM Security,Data Security
T-25,System prompt and instruction extraction,P4 AI Chatbot Component; EE2 External LLM Provider,"DF7, DF8, DF10, DF12",TB1; TB2,System instructions; guardrail configuration,"Iterative elicitation directed at the model, for example requesting verbatim repetition of preceding text or a summary of its configuration, including translation and encoding variants, until the instruction preamble is reproduced in the response.","Reveals the guardrail logic and therefore the means to bypass it, enabling more reliable exploitation of T-22, and may expose internal endpoints, model details, business rules or any credential mistakenly embedded in the preamble.","The extraction request enters P4 on DF7 across TB1, is incorporated by P4 into the prompt that P5 sends to EE2 across TB2 on DF9, and the disclosed instruction text returns from EE2 on DF10 and reaches the user on DF12 across TB1. It is retained as a separate entry from T-22 because the asset and the mitigation differ: the countermeasure is to treat the prompt as public, to remove secrets from it and to enforce controls outside the model, rather than to filter input. Retaining it separately also prevents a candidate model that states only prompt injection from being credited with this distinct outcome.",Yes,Information Disclosure,Medium,OWASP LLM Security,LLM-Specific
T-27,"Provider-side retention, logging or reuse of submitted prompts",EE2 External LLM Provider,"DF9, DF10, DF12",TB2,User prompts; LLM context,"Default provider terms may retain submitted prompts for abuse monitoring, human review or model improvement. A subsequent provider breach, legal compulsion or sub-processor change then exposes historical prompts. Where retained content influences a model, later queries may elicit material submitted earlier by other users of the same application.","Long-tail confidentiality loss across the entire history of DF9 traffic, loss of control over deletion requests, and the possibility that content originally submitted by one user surfaces in a response returned to another user on DF10 and DF12.","This threat prevents the analysis from stopping at the network boundary and concluding that DF9 is protected simply because transport is encrypted. EE2 is drawn as an entity in its own zone beyond TB2 specifically to force reasoning about what happens after successful delivery. The regurgitation case is folded into this entry rather than modelled separately because it is the realisation of the same underlying exposure, namely that submitted content persists outside application control, and the only available mitigations are contractual terms and minimisation at DF9. Assumption A5 states that the application performs no training, but it does not and cannot guarantee that the provider abstains.",Yes,Information Disclosure / Repudiation,High,OWASP LLM Security,Data Security
T-28,Denial of service against the authentication service,P2 Authentication Service; DS1 User Database,"DF1, DF2, DF3",TB1; TB3,Authentication availability,"Volumetric flooding of the login and registration functions, deliberate exploitation of the intentionally expensive password hash as an asymmetric processing cost, and exhaustion of the connection pool serving DS1.","Legitimate users cannot authenticate. Because every other capability depends on holding a session, an authentication outage is effectively a full-system outage.","The threat is located on the DF1 to DF2 to DF3 request path read as a resource path across TB1 and TB3. It captures a genuine interaction between two design choices in this architecture: the adaptive hashing required by Assumption A2 is a confidentiality control that simultaneously creates a processing-cost asymmetry at P2, where a cheap attacker request forces expensive server computation.",No,Denial of Service,Medium,STRIDE-derived,Availability
T-29,External LLM provider unavailability or degradation,P5 LLM Integration Service; P4 AI Chatbot Component; EE2 External LLM Provider,"DF9, DF10",TB2,Chatbot availability; authentication availability (indirect),"Provider outage, rate-limit rejection, regional restriction, model deprecation or elevated tail latency. Where P5 issues synchronous calls without timeouts, request-handling capacity in P4 and P1 is consumed waiting for DF10.","Loss of the chatbot capability, which is acceptable degradation in isolation. Without timeouts and isolation, the failure propagates through shared request-handling capacity into the authentication path, converting a third-party outage into a login outage.","TB2 marks a dependency that the organisation can neither control nor repair, and DF9 and DF10 form a synchronous request-response pair across it. Because P4 and P5 reside in the same Zone B as P1 and P2 under Assumption A3, a shared runtime is plausible, so the substantive content of this threat is containment of the blast radius rather than the chatbot outage itself. Classified as AI-specific because the dependency exists solely to obtain generated responses from an external model.",Yes,Denial of Service,Medium,Architecture-specific analysis,Availability
T-30,Unbounded consumption of the LLM processing pipeline,P4 AI Chatbot Component; P5 LLM Integration Service; EE2 External LLM Provider,"DF7, DF8, DF9",TB1; TB2,Chatbot availability; provider quota; operating budget,"High-frequency questions, inputs sized to fill the model context window, or prompts constructed to maximise generated output length. The same path can be driven by an unauthenticated party where T-11 applies, or used to operate the chatbot as a general-purpose proxy for the attacker's own workloads.","Degraded or unavailable chatbot, queue growth in P4 and P5, direct chargeable cost, and exhaustion of the provider quota, which then denies service to legitimate users through billing rather than through capacity.","DF7 crosses TB1 into P4 with no stated size or rate constraint, and the resulting DF9 crossing of TB2 from P5 to EE2 has a cost that is variable and attacker-influenced because it scales with input and output token counts. Request-count rate limiting is therefore structurally insufficient and token-budget limiting is required. Capacity exhaustion and chargeable-cost exhaustion are combined in one entry because they share the DF7 to DF9 attack path and the same control; the distinction between them is one of impact type rather than of mechanism.",Yes,Denial of Service,Medium,OWASP LLM Security,Availability
T-31,Abuse of anti-automation controls to deny access to legitimate users,P2 Authentication Service,"DF1, DF2",TB1,Authentication availability; user accounts,"Following enumeration as described in T-03, the attacker deliberately submits incorrect credentials to trip lockout thresholds across many accounts, or floods the recovery capability so that it becomes unusable.","Targeted or widespread denial of access to legitimate users, support-desk overload, and a credible pretext for social-engineering follow-up.","This is a control-induced threat: it is the direct negative consequence of the lockout mitigation recommended for T-01 at P2, exercised through the same DF1 and DF2 crossings of TB1 that T-01 uses. It is retained because a reference model that lists only attacker objectives, and never the harm produced by defences, would systematically over-reward candidate models that recommend lockout without qualification.",No,Denial of Service,Medium,Architecture-specific analysis,Availability
T-32,Hallucinated authentication guidance,EE2 External LLM Provider; P4 AI Chatbot Component,"DF10, DF11, DF12",TB2; TB1,Generated responses; user security behaviour,"No adversary is required. The model produces confident but incorrect content, such as a non-existent recovery destination, an inaccurate lockout policy, an obsolete procedure or fabricated contact details. An adversary may additionally induce this condition through T-22.","Users are guided towards insecure behaviour, including disclosing authentication information through an incorrect channel or acting on a fabricated destination that an attacker may subsequently register.","The generated content originates at EE2, crosses TB2 inbound on DF10, is passed through P5 and P4 without any element responsible for verifying its factual accuracy, and crosses TB1 to the user on DF12 inside a trusted application interface. This is the one threat class in the model with no classical STRIDE analogue: no boundary is violated, no flow is tampered with and every component behaves as engineered, yet the security outcome is negative, which is why it is recorded under an extended interpretation of Tampering as loss of integrity of generated information. Severity is assessed as Medium because the condition is unintentional rather than adversarial, is not reliably targetable by an attacker, and is correctable through verification against authoritative documentation.",Yes,Tampering (extended interpretation: integrity of generated information),Medium,OWASP LLM Security,LLM-Specific
T-33,Insecure handling of generated output,P4 AI Chatbot Component; P1 Web Frontend,"DF10, DF11, DF12",TB2; TB1,Generated responses; session tokens; user browser context,"An attacker induces the model, through T-22 or T-23, to emit active markup such as script elements, event-handler attributes or scheme-based links, and the chat interface renders the response as markup without contextual encoding or sanitisation.","Script execution in the victim's authenticated browser origin, leading to theft of the session token as described in T-14, actions performed on the victim's behalf, or presentation of a fabricated credential-harvesting form inside the legitimate interface.","Content that has crossed TB2 inbound on DF10 is untrusted and partially attacker-influenced, yet it is forwarded on DF11 and rendered to the user on DF12 across TB1 without a sanitisation element in the model. This threat directly tests the scenario's central containment assumption: although the model cannot reach DS1 or DS2, its output is rendered in a browser and is therefore executable content, so an advisory-only component still provides a path to session compromise. It anchors chain C1 and is retained at Critical severity because that chain terminates in full account takeover.",Yes,Tampering / Elevation of Privilege,Critical,OWASP LLM Security,LLM-Specific
T-34,Delivery of attacker-authored instructions through the assistant,P4 AI Chatbot Component; EE2 External LLM Provider,"DF10, DF11, DF12",TB2; TB1,Generated responses; user credentials; user security behaviour,"Through poisoned context as described in T-23, or through provider compromise as described in T-36, the returned answer instructs the user to verify their identity at an attacker-controlled destination, to transmit a recovery artefact to a given address, or to disable a protective setting.","Disclosure of credentials or recovery artefacts to the attacker, at a success rate substantially higher than external phishing because the instruction is delivered inside the trusted application interface in direct response to the user's own question.","The harmful content enters across TB2 on DF10 and reaches the user across TB1 on DF12. It is retained separately from T-32 because the content is intentional and attacker-chosen rather than accidental, which changes the required control: output-side destination allow-listing and content policy enforcement at P4 are needed, not improvements in model accuracy. The trust context of the DF12 delivery channel is what converts generated text into an effective attack.",Yes,Tampering / Spoofing of organisational authority,High,Research-based LLM Threat,LLM-Specific
T-35,Excessive trust placed in generated output,P4 AI Chatbot Component; P5 LLM Integration Service; surrounding system design,"DF11, DF12",TB2; TB1,Generated responses; authentication decisions,"Two variants. Users accept assistant answers as authoritative because the interface presents them without provenance or uncertainty indication. Separately, a later design change permits generated output to influence an application decision, such as pre-filling a support action or classifying an account state, turning an advisory component into an input to an authorisation path.","Amplifies every other AI-specific threat by removing the human verification step that currently bounds their impact. In the second variant, an actor who influences the prompt would influence a privileged action, which would invalidate the containment property the architecture relies upon.","The architecture's safety rests on the stated property that the model performs no authentication and reaches no database, but that property is a policy statement rather than a control represented anywhere in the model: neither P5 on DF11 nor P4 on DF12 contains an element that verifies or constrains generated content before it crosses TB1 to the user. Content crossing TB2 inbound is therefore trusted by convention. Severity is assessed as Medium because in the baseline design as specified the impact is limited to user misplacement of trust; the escalation variant is recorded as a design-integrity concern rather than as a presently exploitable condition, and it is the case that continuous rather than one-off threat modelling is intended to detect.",Yes,Elevation of Privilege / Tampering,Medium,OWASP LLM Security,LLM-Specific
