id,element,element_type,stride,threat_description,mitigation,SDL_stage,cvss_vector,cvss_score
33,P5: LLM Integration Service,Process,Denial of Service,Exhaustion of upstream LLM API rate limits or connection pool blocking all assistant interactions.,"Implement circuit breakers, token bucket rate limiters, backoff retries, and fallback informational responses.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
34,P5: LLM Integration Service,Process,Elevation of Privilege,Unvalidated deserialization or command execution of structured output returned from external LLM.,Never evaluate LLM outputs as code; strictly validate structured JSON responses against Pydantic schemas.,Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8
35,DS1: User Database,Data Store,Tampering,"Direct modification of user identity, email, or account status records bypassing recovery workflows.","Enforce database role-based access control (RBAC), row-level security, and audit trigger logs.",Design,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,7.2
36,DS1: User Database,Data Store,Repudiation,User profile changes or account status updates occur in DB without binary audit logging.,Enable immutable database transaction logging with cloud write-once retention.,Verification,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:H/A:N,4.9
37,DS1: User Database,Data Store,Information Disclosure,"SQL injection or database dump exfiltrating user personal details, hashed passwords, and contact emails.","Implement AES-256 encryption at rest, secure hashing, and strict network isolation.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5
38,DS1: User Database,Data Store,Denial of Service,Connection pool exhaustion or locking queries causing database downtime during account recovery.,"Configure connection pooling, query indexes on username/email, and read-replicas.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
39,DS2: Recovery Token Storage,Data Store,Tampering,Direct modification of stored recovery tokens or expiration timestamps to keep expired tokens valid.,"Store cryptographically hashed tokens (SHA-256), enforce network ACLs, and isolate token storage.",Design,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,7.2
40,DS2: Recovery Token Storage,Data Store,Repudiation,"Token generation, invalidation, and consumption events are unrecorded, preventing forensic attribution of token abuse.",Implement structured audit trails for all token state transitions with client IP and timestamps.,Verification,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:H/A:N,4.9
41,DS2: Recovery Token Storage,Data Store,Information Disclosure,Unauthorized access to token cache exposing active recovery tokens for all users.,Store only salted one-way hashes of recovery tokens; enforce TLS and authentication on Redis/DB.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5
42,DS2: Recovery Token Storage,Data Store,Denial of Service,Memory overflow in token storage resulting in early token eviction and failed legitimate recoveries.,"Set explicit short TTLs on tokens (e.g. 15 minutes), monitor memory usage, and size storage appropriately.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
43,DF1: Recovery Initiation Request,Data Flow,Tampering,MITM tampering with recovery initiation parameters during transit over public network.,Enforce HTTPS with TLS 1.3 and HSTS preloading on recovery initiation endpoints.,Design,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N,5.9
44,DF1: Recovery Initiation Request,Data Flow,Information Disclosure,Eavesdropping on unencrypted recovery requests revealing user identity and targeted account.,Mandate TLS 1.3 encryption across all public network routes.,Implementation,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,3.7
45,DF1: Recovery Initiation Request,Data Flow,Denial of Service,HTTP request flooding with recovery initiation attempts saturating frontend bandwidth.,"Deploy WAF rate limiting, IP reputation filtering, and CAPTCHA.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
46,DF2: Forwarded Recovery Request,Data Flow,Tampering,Internal network attacker alters forwarded recovery parameters between P1 and P2.,Enforce internal mTLS and cryptographically signed inter-service payloads.,Design,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:H/A:N,5.3
47,DF2: Forwarded Recovery Request,Data Flow,Information Disclosure,Plaintext recovery request intercepted on internal network segment.,Encrypt all inter-service communication with mTLS (TLS 1.3).,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
48,DF2: Forwarded Recovery Request,Data Flow,Denial of Service,Internal communication congestion between P1 and P2 dropping recovery requests.,Provision dedicated internal network bandwidth and message queue backpressure.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
49,DF3: Verification Data Query,Data Flow,Tampering,SQL injection / query manipulation on verification lookup modifying queried account filter.,Use strictly parameterized queries and prepared statements.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8
50,DF3: Verification Data Query,Data Flow,Information Disclosure,Sniffing database queries containing queried usernames revealing target account names.,Enforce TLS encryption on all database client connections.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
51,DF3: Verification Data Query,Data Flow,Denial of Service,Flooding database query pipeline with expensive verification lookups.,Index lookup columns and enforce query execution timeouts.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
52,DF4: Account Verification Data Result,Data Flow,Tampering,Altering database verification responses to simulate a successful identity check.,Secure database connection with mTLS and validate result integrity.,Design,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:H/A:N,5.3
53,DF4: Account Verification Data Result,Data Flow,Information Disclosure,Interception of database response containing sensitive user verification data and contact emails.,Encrypt database traffic using TLS and limit fields to necessary verification attributes.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,5.3
54,DF4: Account Verification Data Result,Data Flow,Denial of Service,Dropped database response packets causing recovery verification timeouts.,Configure reliable transport protocols with automatic connection retry.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3
55,DF5: Store Recovery Token Request,Data Flow,Tampering,Tampering with token storage command altering token ownership or extending expiration.,Use signed storage API commands and hash tokens before writing to storage.,Design,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,6.5
56,DF5: Store Recovery Token Request,Data Flow,Information Disclosure,Interception of token write command exposing raw recovery token on internal network.,Enforce TLS encryption on token storage connections and store only token hashes.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,5.3
57,DF5: Store Recovery Token Request,Data Flow,Denial of Service,Flooding token store with write requests exhausting cache capacity.,Throttle token creation rates per user and per IP.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
58,DF6: Token Storage Confirmation,Data Flow,Tampering,Tampering with token storage confirmation message to falsely indicate successful token persistence.,Protect internal service responses with cryptographic HMAC / mTLS.,Design,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:N,3.1
59,DF6: Token Storage Confirmation,Data Flow,Information Disclosure,Confirmation message leaks internal storage keys or server memory addresses in error traces.,"Sanitize all response payloads to return standard, non-verbose status codes.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3
60,DF6: Token Storage Confirmation,Data Flow,Denial of Service,Dropped token confirmation packets leaving recovery process in an unconfirmed state.,Implement request timeout and exponential retry handling.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3
61,DF7: Recovery Challenge / Result,Data Flow,Tampering,Tampering with challenge response to alter displayed recovery instructions.,Encrypt and authenticate inter-service payloads using mTLS.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:N,3.1
62,DF7: Recovery Challenge / Result,Data Flow,Information Disclosure,Challenge response discloses partial user PII (e.g. unmasked phone numbers/emails) to unverified clients.,"Properly mask all contact identifiers (e.g. j***@domain.com, ***-***-1234) before sending to client.",Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3
63,DF7: Recovery Challenge / Result,Data Flow,Denial of Service,Dropping challenge response packets leaving frontend in infinite loading state.,Set client/server timeouts with user retry prompts.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3
64,DF8: Recovery Token Submission,Data Flow,Tampering,Interception and manipulation of submitted recovery token in transit over public network.,Mandate HTTPS with TLS 1.3 and HSTS preloading.,Design,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N,5.9
65,DF8: Recovery Token Submission,Data Flow,Information Disclosure,Interception of plaintext recovery token over insecure transport (TLS stripping).,Enforce strict TLS 1.3 encryption across all public recovery endpoints.,Implementation,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,5.9
66,DF8: Recovery Token Submission,Data Flow,Denial of Service,Automated brute-force flooding against token submission endpoint.,"Deploy edge rate limiting, progressive delays, and lockout after repeated failed token submissions.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
67,DF9: Forwarded Token Credential,Data Flow,Tampering,Tampering with submitted token credential payload between P1 and P2.,Enforce mTLS and cryptographically signed payloads between internal services.,Design,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:H/A:N,5.3
68,DF9: Forwarded Token Credential,Data Flow,Information Disclosure,Eavesdropping on internal network segment capturing submitted recovery tokens.,Encrypt all internal service communications with TLS 1.3.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,5.3
69,DF9: Forwarded Token Credential,Data Flow,Denial of Service,Flooding internal token credential submission channel causing service queue exhaustion.,Implement internal traffic shaping and priority queueing.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
70,DF10: Token Validation Query,Data Flow,Tampering,Query tampering modifying token lookup parameters to match an unintended token record.,Use strongly parameterized lookup queries and constant-time token hash verification.,Implementation,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,8.1
71,DF10: Token Validation Query,Data Flow,Information Disclosure,Sniffing token validation queries revealing queried token hashes.,Enforce TLS encryption on all token storage transport links.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
72,DF10: Token Validation Query,Data Flow,Denial of Service,Flooding token storage with validation lookups causing cache lockup.,Implement rate limiting and token cache indexing.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
73,DF11: Token Validation Result,Data Flow,Tampering,Tampering with token validation result to mark an invalid/expired token as valid.,Secure connection with mTLS and validate result integrity checksums.,Design,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:N,6.8
74,DF11: Token Validation Result,Data Flow,Information Disclosure,Interception of validation result disclosing account metadata and authorization scope.,Encrypt token storage traffic using TLS.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
75,DF11: Token Validation Result,Data Flow,Denial of Service,Dropped validation result packets causing token verification to fail (fail-closed requirement).,Configure reliable transport protocols with retries.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3
76,DF12: Token Invalidation / Consumption Request,Data Flow,Tampering,Tampering with token invalidation request allowing a consumed token to remain active (replay attack).,Enforce atomic token consumption within the same database transaction as verification.,Design,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,8.1
77,DF12: Token Invalidation / Consumption Request,Data Flow,Information Disclosure,Interception of invalidation commands disclosing consumed token identifiers.,Encrypt communication with TLS 1.3.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
78,DF12: Token Invalidation / Consumption Request,Data Flow,Denial of Service,Dropped invalidation commands causing race conditions where tokens can be reused before deletion.,Enforce transactional commits requiring successful deletion confirmation before granting session.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:N,6.8
79,DF13: Authorized Profile Update Request,Data Flow,Tampering,Tampering with authorized profile update payload altering the target user ID or modified fields.,Enforce mTLS and digitally sign authorization claims passed between P2 and P3.,Design,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:H/A:N,5.3
80,DF13: Authorized Profile Update Request,Data Flow,Information Disclosure,Sniffing internal profile update payload exposing new user contact information.,Encrypt all inter-service communication with TLS 1.3.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
81,DF13: Authorized Profile Update Request,Data Flow,Denial of Service,Flooding profile update request channel causing service queue congestion.,Implement internal traffic shaping and priority queueing.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
82,DF14: Profile Modification Query,Data Flow,Tampering,SQL injection / parameter manipulation in profile update query modifying unauthorized database rows.,Use strictly parameterized queries and prepared statements.,Implementation,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,8.8
83,DF14: Profile Modification Query,Data Flow,Information Disclosure,Sniffing database update queries containing updated user emails and passwords.,Enforce TLS encryption on all database transport links.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,5.3
84,DF14: Profile Modification Query,Data Flow,Denial of Service,Flooding database with update queries causing table locking.,Index primary keys and enforce query timeouts.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
85,DF15: Profile Update Result,Data Flow,Tampering,Tampering with profile update result message to falsely indicate successful profile update.,Secure database connection with mTLS and validate result status.,Design,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:N,3.1
86,DF15: Profile Update Result,Data Flow,Information Disclosure,Database result message contains verbose database errors or schema details.,"Sanitize response payloads to return standard, non-verbose status codes.",Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3
87,DF15: Profile Update Result,Data Flow,Denial of Service,Dropped database response packets leaving profile update status in an indeterminate state.,Configure reliable connection retry and transaction rollback handling.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3
88,DF16: Forwarded Profile Result,Data Flow,Tampering,Internal tampering with forwarded profile update result message.,Encrypt and authenticate inter-service communication with mTLS.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:N,3.1
89,DF16: Forwarded Profile Result,Data Flow,Information Disclosure,Sniffing profile update confirmation message on internal network.,Enforce TLS 1.3 across all internal microservice boundaries.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
90,DF16: Forwarded Profile Result,Data Flow,Denial of Service,Internal communication failure delaying delivery of profile update result.,Configure asynchronous messaging with timeout fallbacks.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3
91,DF17: Profile Update Display,Data Flow,Tampering,Injection of XSS payloads in profile update confirmation rendered in user browser.,Sanitize and escape all HTML tags before rendering profile data in frontend.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,8.1
92,DF17: Profile Update Display,Data Flow,Information Disclosure,Eavesdropping on displayed profile update confirmation over insecure network.,Mandate HTTPS/TLS 1.3 for all client-facing response delivery.,Implementation,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,3.7
93,DF17: Profile Update Display,Data Flow,Denial of Service,Large response payload freezing user browser DOM rendering engine.,Implement maximum response length caps and UI rendering timeouts.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3
94,DF18: User Account Question,Data Flow,Tampering,User question containing prompt injection or tampered in transit over public network.,Enforce HTTPS/TLS 1.3 and treat all incoming chatbot text as untrusted attacker input.,Design,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,5.3
95,DF18: User Account Question,Data Flow,Information Disclosure,Eavesdropping on account support question disclosing sensitive user account concerns.,Mandate HTTPS encryption for all AI interaction endpoints.,Implementation,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,3.7
96,DF18: User Account Question,Data Flow,Denial of Service,Flooding question endpoint with massive input strings exhausting memory buffers.,Enforce max character limits (e.g. 2000 chars) and WAF rate limiting.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
97,DF19: Forwarded Support Question,Data Flow,Tampering,Tampering with question payload or user context forwarded from P1 to P4.,Enforce mTLS and authenticate inter-service payloads.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:N,3.1
98,DF19: Forwarded Support Question,Data Flow,Information Disclosure,Interception of forwarded support request revealing user questions on internal network.,Encrypt all internal service traffic with TLS 1.3.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,3.1
99,DF19: Forwarded Support Question,Data Flow,Denial of Service,Flooding P4 request queue with rapid question batches.,Implement bounded worker queues with rejection backpressure.,Implementation,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
100,DF20: Support Prompt + Approved Context,Data Flow,Tampering,Tampering with assembled prompt and context payload between P4 and P5.,Authenticate inter-service payloads using mTLS and strict schema checks.,Implementation,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:N,3.1
101,DF20: Support Prompt + Approved Context,Data Flow,Information Disclosure,"Inadvertent inclusion of recovery tokens, passwords, or PII in prompt payload sent to P5.",Automated secret scanning and PII scrubbing before prompt construction.,Implementation,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,6.5
