Reference_Threat_ID,Threat_Name,Primary_STRIDE_Category,Threat_Type,Affected_Components,Affected_Data_Flows,Trust_Boundary,Affected_Asset_Security_Property,Attack_Mechanism,Concrete_Attack_Scenario,Security_Impact,Architectural_Evidence,Expert_Justification,Severity,Likelihood,LLM_Specific,Confidence,Include_in_Final_Baseline
S1-RT-013,Session fixation on the authentication flow,Spoofing,Session Management,P1 Web Frontend Interface; P3 Session Management Module,"DF1, DF5, DF6, SF1",TB1; TB3,Session tokens; authenticated sessions,"Nothing in the architecture requires that the session identifier issued at the authentication transition be freshly derived: if an identifier the attacker already knows is accepted at DF5, P3 binds the victim's authenticated identity to that pre-existing value instead of generating a fresh one for DF6.","The attacker supplies the victim with an authentication entry point that carries an attacker-chosen session identifier (the mechanism by which identifiers travel to the client is not specified by the architecture); the victim authenticates through it; P3 binds the authenticated identity to the known value, and from the moment login completes the attacker uses that identifier as the victim.","The attacker holds a valid token for the victim's authenticated session from the moment login completes, without observing credentials, predicting a generated value, or intercepting any flow.","Token generation is an explicitly stated responsibility of P3, but the drawn flow set shows creation (DF5), issuance (DF6) and persistence (SF1) without any element requiring that the issued identifier be freshly derived at the authentication transition, so acceptance of a client-influenced identifier is an uncontrolled degree of freedom; ASVS V3.2 requires regeneration at every authentication transition.","Final audit: retained with a technology-neutral rewrite: client-transport mechanisms for identifiers were removed, and the acceptance of a client-influenced identifier is phrased conditionally because identifier transport is not specified (rules 1 and 7). Retained separately from S1-RT-014, S1-RT-015 and S1-RT-016 because the attacker never acquires, computes or reuses a token: the victim authenticates onto an identifier the attacker already holds, a distinct control failure with a distinct mitigation. Primary STRIDE is Spoofing.",High,Medium,No,High,YES
S1-RT-014,Session token theft at the delivery and persistence crossings,Spoofing,Session Management,P3 Session Management Module; P1 Web Frontend; DS2 Session Storage,"DF6, SF1",TB1; TB3,Session tokens,"The bearer token is exposed at its two drawn crossings: at delivery to the client environment on DF6 across TB1, where protection of the token within the client context is not specified, and at persistence to DS2 on SF1 across TB3, where store-side protection is not specified; a captured token is presented as the victim.","Script executing in the victim's client environment, delivered for instance through S1-RT-033, reads the session token where it is exposed to client-side code and exfiltrates it; the attacker presents the token from their own client and operates as the victim for the remaining token lifetime.","Full session hijack: the attacker acts as the victim without possessing credentials, defeating password strength and every login-time control.","The session token is a bearer secret exposed at two distinct boundaries with two distinct control sets: it crosses TB1 on DF6 when delivered to the client, and TB3 on SF1 when persisted to DS2; neither crossing has a specified protection, and no element in the model protects either leg specifically.","Final audit: retained with a technology-neutral rewrite: implementation-specific client-side protections were removed and replaced with the unspecified-protection phrasing for both drawn crossings (rules 1 and 7). Primary STRIDE is Spoofing: the primary violation is unauthorised use of the victim's authenticated session; the capture enabling it is information disclosure, noted as secondary. Both crossings are kept so that a partial mitigation at one boundary is not mistaken for coverage. Severity Critical: terminal node of the injection-to-takeover chain anchored by S1-RT-033.",Critical,Medium,No,High,YES
S1-RT-015,Predictable or weakly generated session tokens,Spoofing,Session Management,P3 Session Management Module,"DF6, SF1",TB1,Session tokens,"Unpredictability of the tokens that P3 generates is not a property specified by the architecture; if issued identifiers are derivable from observable values, an attacker can compute valid tokens belonging to other users from samples exposed on DF6.","The attacker creates several accounts and logs into each, collecting the tokens issued on DF6; the values reveal a derivable pattern, from which the attacker computes a currently valid token for a victim and presents it directly, without any victim interaction or activity on the login path.","Session hijack at scale with no victim interaction and no activity on the login path, therefore invisible to authentication monitoring.","Generating session tokens is an explicitly stated responsibility of P3, so token unpredictability is a property of a named process in this architecture; the generated value is exposed on DF6 across TB1, which is what gives an attacker the samples needed to infer the generator, and the unpredictability requirement is not specified anywhere. ASVS V3.2 applies.","Final audit: retained with conditional phrasing (rule 7): the entry states that unpredictability is not specified and conditions the attack on derivable identifiers, rather than asserting a weak generator. The failure is generation-side and therefore distinct from the delivery-side and storage-side exposure of S1-RT-014, with which it is not merged. Likelihood Low: strong generation is the implementation norm, but the impact scale keeps severity High and the entry evaluable.",High,Low,No,High,YES
S1-RT-016,Token replay and absent session invalidation,Spoofing,Session Management,P3 Session Management Module; DS2 Session Storage,"DF6, SF1, SF3",TB1; TB3,Session tokens,"The model contains session creation (DF5, DF6), persistence (SF1) and validation (SF3) but no flow by which a session is terminated or a DS2 record removed; token lifetime is therefore unbounded in the drawn architecture, and a token that leaves the victim's control remains usable.","A token stolen through S1-RT-014 continues to work after the victim logs out (no logout or revocation flow exists in the model), after a password change, and after the attacker's presence is suspected; the DS2 record is never removed, so the hijacked session persists indefinitely.",Indefinite persistence of a compromised session: logout and password change fail to evict an attacker who already holds a token.,"This threat is justified by an absence in the drawn architecture rather than by any element: no termination or revocation flow exists, so no element is responsible for invalidation and token lifetime is unbounded by construction; this is stated as an architecture-level gap, not as a claim about implementation behaviour.","Final audit: retained. Primary STRIDE is Spoofing: the mechanism is replay of a captured authenticator, which is spoofing of the session owner; elevation of privilege is secondary. Implementation-specific token-design clauses were removed; the absence-based grounding needs no assumption beyond the drawn flow set. The fixation overlap remains correctly separated: S1-RT-013 handles pre-authentication binding, this entry handles post-issuance lifecycle. Confidence Medium: absence-based grounding.",High,Medium,No,Medium,YES
S1-RT-017,Session storage compromise and record tampering,Tampering,Session Management,DS2 Session Storage; P3 Session Management Module,SF1,TB3,Session tokens; session state,"Protection of DS2 itself is not specified beyond the TB3 boundary; an attacker reaching the store directly can insert session records that map an attacker-held token to a victim identity, or read stored tokens in bulk.","An attacker reaches DS2 directly behind TB3 and inserts a record binding a token value they control to a victim's identity; subsequent SF3 validation of that token succeeds, and the attacker operates as the victim without ever interacting with P2.",Mass session hijack across the user population and forgery of authenticated sessions without any interaction with the authentication service.,"Applying STRIDE-per-element to DS2 yields tampering and information-disclosure cases not covered by the delivery-oriented S1-RT-014, because the attack occurs entirely behind TB3 on the SF1 path; TB3 is drawn precisely to mark the store boundary, and the store's own protection is not specified by the architecture.","Final audit: retained with control-gap phrasing: the store's protection is described as unspecified rather than weak. Primary STRIDE is Tampering: the distinctive capability is forgery of stored session state. To prevent double-crediting, the bulk token-extraction leg is cross-referenced to the storage side of S1-RT-014 rather than restated, and the over-privileged-access vector is carried by S1-RT-009. Likelihood Low: requires direct store-level compromise behind TB3.",High,Low,No,High,YES
S1-RT-018,Mass disclosure of the user database,Information Disclosure,Data Security,DS1 User Database,"DF3, DF4",TB3,User credentials; password hashes; account information (PII),"Unauthorised bulk read of DS1's contents through any available path: influence over the verification exchange through S1-RT-008, cross-store access through S1-RT-009, or direct compromise of the store, whose own protection is not specified by the architecture.","Through the injection flaw of S1-RT-008 the verification exchange is steered to return stored account records; the attacker obtains usernames, salted password hashes and account information for the entire population. Password policy and hash-function configuration beyond salting are not specified; if either is weak, the disclosed records are additionally recoverable offline, which is recorded as a conditional amplifier and a control gap.","Catastrophic and irreversible disclosure of the entire credential population, with statutory breach-notification obligations and cross-service reuse harm to users.","DS1 is the highest-value asset in the model and sits entirely behind TB3, reachable through the DF3 and DF4 pair; STRIDE-per-element mandates an information-disclosure entry for every data store, and the store-direct compromise path of this entry is not carried by any other entry.","Final audit: retained as the store-level disclosure entry. Challenged under rule 3 as potentially a mere consequence of S1-RT-008 and S1-RT-009, and retained deliberately: the asset-level consequence, the detection strategy and the regulatory obligations are properties of the store, and the store-direct path is unique to this entry. Modification: implementation-specific exposure vectors for stored copies of the database were removed as unspecified technologies, and the weak-policy/hash amplification previously carried by a separate entry is absorbed here as a conditional note and cross-listed as a control gap. Primary STRIDE is Information Disclosure.",Critical,Medium,No,High,YES
S1-RT-019,Verbose error and diagnostic disclosure,Information Disclosure,Data Security,P1 Web Frontend; P2 Authentication Service; P5 LLM Integration Service,DF6 and DF1 response paths; DF10 and DF12 error paths,TB1; TB2,System configuration metadata; prompt content; internal identifiers,"Internal implementation detail is propagated to responses returned across TB1: diagnostic or configuration content generated in P1 or P2, and provider-side error content received by P5 on DF10, reaches the untrusted user environment, and response-content discipline is not specified by the architecture.","An unhandled failure at P2 causes internal diagnostic content, including a fragment of the verification request, to be returned through P1 to the attacker; separately, a provider error body received on DF10 that embeds the submitted prompt is relayed verbatim on DF12, carrying prompt content back across TB1.","Reconnaissance that materially accelerates S1-RT-004 and S1-RT-008 crafting, with occasional direct exposure of sensitive detail embedded in error content.","The threat is anchored to two boundary crossings: on TB1, content generated by P1 and P2 returns to the untrusted user environment on the DF1 and DF6 response paths; on TB2, P5 receives provider error bodies on DF10, and relaying them on DF12 would carry prompt content back across TB1; no response-normalisation element is specified.","Final audit: retained with a technology-neutral rewrite: implementation-specific diagnostic artefacts were generalised to internal diagnostic or configuration content. Distinct from S1-RT-003: that entry is a design-level response oracle (differential existence signalling), this one is diagnostic-content disclosure; different assets, different inspection method, different mitigation. Classified not LLM-specific: the defect is classical response discipline regardless of whether the upstream service is a language model. Primary STRIDE is Information Disclosure.",Medium,High,No,High,YES
S1-RT-020,Exposure of the external service API credential,Information Disclosure,Data Security,P5 LLM Integration Service,DF9,TB2,LLM provider API credential,"The provider authentication material that P5 must hold to perform the DF9 crossing is exposed: its storage and handling are not specified by the architecture, and any exposure yields a secret that authenticates the application to EE2.","The credential material held at P5 is exposed through an implementation artefact, whose nature the architecture does not specify; the attacker recovers it and submits prompts under the application's provider identity, consuming quota and impersonating the application toward EE2.","Unbounded chargeable use of the organisation's provider account, attacker access to any provider-side data associated with the credential, and complete loss of attribution for prompts submitted under it.","P5 is the single process performing the TB2 crossing on DF9, so the credential it must hold is a boundary-attached secret; the DS3 specification explicitly lists API keys among the secrets that must not reside in the context repository, establishing that an API credential exists as a system asset. OWASP A02 applies to secrets of this kind.","Final audit: retained with a technology-neutral rewrite: implementation-specific exposure channels were replaced by the unspecified-storage phrasing (rules 1 and 7). The credential's existence is grounded in the DS3 exclusion note together with DF9's stated purpose of sending prompts to the external provider on the application's behalf. Primary STRIDE is Information Disclosure: the credential is the disclosed asset, and its abuse is the impact. Not LLM-specific: classical secret exposure.",High,Medium,No,High,YES
S1-RT-021,Unspecified attribution of security-relevant actions,Repudiation,Data Security,P2 Authentication Service; P3 Session Management Module; P4 AI Chatbot Component; P5 LLM Integration Service,"DF1, DF2, DF5, DF7, DF9",TB1; TB2; TB3,Attribution and accountability of security-relevant actions,"No audit or attribution mechanism is specified for the security-relevant actions of P2, P3, P4 and P5, so performed actions cannot be attributed to a subject and cannot be contradicted after the fact.","An attacker completes an account takeover; when the action is later disputed, no specified mechanism can show which subject performed the involved authentication attempts, session issuances or chatbot requests, and the attacker can credibly deny having performed them.","Attack campaigns proceed without attribution, incident scope cannot be reconstructed, actions cannot be bound to a subject, and disputes cannot be resolved.","STRIDE assigns repudiation to every process, and the events requiring attribution are generated by P2, P3, P4 and P5 at all three boundaries: authentication attempts reaching P2 across TB1 on DF1 and DF2, data egress from P5 across TB2 on DF9, and privileged access by P2 and P3 across TB3 on DF3 and SF1; the drawn architecture contains no audit element, so attribution is not specified.","Final audit: retained with strict control-gap phrasing: the entry states that attribution is not specified (rule 7) and assumes no particular logging infrastructure (rule 1); the threat is the repudiation exposure that follows from the drawn architecture itself. Primary STRIDE is Repudiation, a native single-category fit and the sole repudiation entry in the baseline. Severity Medium as an enabler whose harm materialises through the entries it shields.",Medium,High,No,High,YES
S1-RT-022,Direct prompt injection,Tampering,LLM-Specific,P4 AI Chatbot Component (prompt assembly); P5 LLM Integration Service; EE2 External LLM Provider,"DF7, DF8, DF9, DF10",TB1; TB2,LLM context; system instructions; generated responses,"User input submitted on DF7 is interpreted by the model as instruction rather than data: P4 assembles the untrusted text together with trusted system instructions and approved context into a single prompt that crosses TB2 on DF9, with no instruction-data separation anywhere in the pipeline.","The user submits an instruction to disregard prior instructions and reveal the configuration; P4 concatenates it into the prompt on DF8, P5 sends it on DF9, and the model complies within its DF10 response, which P1 displays to the user on DF12 as an assistant answer.","Disclosure of instructions and approved context present in the prompt window, generation of content that violates intended topic restrictions, and production of attacker-chosen text that the application presents as authoritative guidance.","DF7 carries arbitrary untrusted text across TB1 into P4 (stated assumption A5: user inputs may be malicious), and the assembled prompt crosses TB2 on DF9 as one undifferentiated sequence, a confused-deputy condition at the prompt-assembly step; MITRE ATLAS records this vector as AML.T0051.000 (Direct Prompt Injection).","Final audit: retained unchanged in substance. Architecture-grounded entirely in drawn flows and stated assumptions; the highest-likelihood AI-specific entry. Severity High rather than Critical because the architecture grants the model no authority: it cannot authenticate users, modify accounts or reach DS1 and DS2, so direct impact is bounded by disclosure of prompt content and manipulation of returned text; its role as the entry point for the chains through S1-RT-033 and S1-RT-034 is where the greater risk lies. Primary STRIDE is Tampering.",High,High,Yes,High,YES
S1-RT-023,Indirect prompt injection through the context repository,Tampering,LLM-Specific,DS3 Knowledge Base and Context Repository; P4 AI Chatbot Component,"SF2, DF8, DF9, DF10, DF11, DF12",TB3; TB2; TB1,LLM context; generated responses; integrity of published guidance,An actor able to influence the content of DS3 embeds instructions inside otherwise legitimate documentation; every subsequent user whose query retrieves that document on SF2 has the embedded instruction acted upon on their behalf inside the prompt.,"An actor with influence over DS3 content, whether through a compromised content-author account or an unreviewed automated import, adds an instruction to a widely retrieved article directing users to verify their identity at an attacker-controlled destination; every user whose question retrieves that article receives the manipulated guidance with the application's authority.","Persistent and victim-agnostic manipulation of assistant behaviour: users can be directed towards attacker-controlled destinations, prompted to disclose authentication information, or given deliberately weakened guidance.","The injection point is a data store located inside TB3 rather than the user input field, so input-validation controls on DF7 do not detect it; DS3 is the only store in the model whose integrity requirement exceeds its confidentiality requirement, because its contents are retrieved on SF2 and interpreted as part of the instruction stream; the DS3 write path is not a numbered flow in the architecture, which is recorded as a precondition and control gap. MITRE ATLAS records this vector as AML.T0051.001 (Indirect Prompt Injection).","Final audit: retained. Blast radius is all users, persistently, which makes this the highest-leverage AI-specific threat in the model. The write-path authorisation weakness is deliberately folded in as a precondition rather than kept separate, because it has no security consequence in this architecture except through prompt assembly. Confidence Medium because the precondition concerns an unmodelled write path, which is stated as a gap. Primary STRIDE is Tampering.",High,Medium,Yes,Medium,YES
