Reference_Threat_ID,Threat_Name,Primary_STRIDE_Category,Threat_Type,Affected_Components,Affected_Data_Flows,Trust_Boundary,Affected_Asset_Security_Property,Attack_Mechanism,Concrete_Attack_Scenario,Security_Impact,Architectural_Evidence,Expert_Justification,Severity,Likelihood,LLM_Specific,Confidence,Include_in_Final_Baseline
S3-RT-011,Injection into identity verification lookups through recovery request data,Tampering,Data Security,P2 Account Recovery Service; DS1 User Database,"DF2, DF3",TB2,Identity verification data; user account information,"Recovery request details arriving on DF2 carry injection payloads in identifier or verification-answer fields; P2 composes the identity verification lookups of DF3 from this externally controlled data, and the payload alters the lookup executed against DS1 — forcing a positive verification result on DF4 or extracting records beyond the intended scope.","An attacker submits a recovery request whose verification-answer field carries crafted syntax that changes the meaning of the DF3 lookup; DS1 returns a positive verification result on DF4 or record contents beyond the intended scope, and token generation proceeds for an account the attacker never verified.","Direct account recovery bypass through forged verification results, and arbitrary extraction of account, profile and verification data from DS1, seeding the mass disclosure of S3-RT-014.","DF2 crosses TB1 with user-controlled content and DF3 carries it across TB2 into security-decisive verification lookups, exactly the untrusted-input-to-lookup path that OWASP Top 10 A03 identifies; the verification result on DF4 is the scenario's core security decision, so injection here subverts the control the entire architecture exists to enforce.","Catalogue entry T-11, retained with a STRIDE collapse and a technology-neutral rewrite: primary Tampering, the integrity of the verification lookup is violated, with the disclosure consequence noted; query-technology terminology was generalised to untrusted influence over the lookups P2 composes, which the drawn architecture fully supports. Retained separately from S3-RT-001 and S3-RT-002, which also end in illegitimate tokens, because the mechanism is a data-layer lookup integrity failure: a flawless recovery workflow with strong verification factors and correct throttling still falls to a single crafted request, and only structured construction of the lookup, with untrusted data kept separate, addresses it.",Critical,Medium,No,High,YES
S3-RT-012,Stored second-order injection through profile update data crossing service domains,Tampering,Data Security,P3 Profile Management Service; DS1 User Database,"DF8, DF9",TB3,Profile information; identity verification data,"The attacker stores hostile content inside profile fields through an otherwise permitted update on DF8 and DF9; the content lies dormant in DS1 until another service reads the shared store — for example when P2 reads stored values over DF3 to verify identity — and, if the reading service's processing assigns interpretive meaning to stored content, the stored syntax alters that processing's behaviour in the recovery context, with the reading service's authority.","An attacker writes crafted content into a profile field through an ordinary update; the content persists in DS1, and when P2 later reads stored values during identity verification, the stored content's influence forces a positive verification result or widens what the verification step reads, all without the attacker ever touching the recovery path directly.","Second-order compromise of verification operations, including forged verification results and extraction of account and verification data, with the attack crossing from the profile trust domain at TB3 into the recovery trust domain at TB2 while the attacker only ever performed an ordinary profile write.","OWASP injection guidance under Top 10 A03 explicitly covers stored and second-order variants, in which malicious data is persisted through one path and consumed by another; DS1 is precisely such a shared store, fed by the user-writable DF9 and read by the security-decisive DF3 and DF4, and the architecture's separation into two services does not isolate the underlying data. What the reading service's processing makes of stored content is not specified by the architecture, so the influence is stated conditionally on that processing interpreting stored content.","Catalogue entry T-12, retained with the lookup-wording harmonisation of the first review and, in this freeze audit, restated at the architecture level: the entry assumes no specific downstream processing mechanism — it is stated as untrusted stored content, written through the profile path, influencing the security-decisive recovery processing that reads it back, conditional on that processing interpreting stored content — which is the level the drawn shared-store structure supports. Retained separately from S3-RT-011 because the entry point, precondition and boundary differ: that entry injects directly through the recovery path at TB2 with immediate effect, whereas this entry requires only an ordinary profile write and detonates later in a different service, so input validation at P2's boundary alone cannot address it. Primary STRIDE is Tampering.",High,Medium,No,Medium,YES
S3-RT-013,Stored or reflected active content from profile and recovery data executing in the application's client context,Tampering,Data Security,P1 Web Frontend; DS1 User Database,"DF7, DF9",TB1,Profile information; recovery tokens,"Active content stored in profile fields through DF9, or reflected in recovery results and error messages on DF7, is presented by P1 within the platform interface; if the client environment interprets the presented content as executable — display-side content handling at P1 is not specified — it executes in the user's client context, and content planted in a victim's own record through the record-level takeover of S3-RT-007 renders in the victim's context rather than the attacker's.","An attacker plants active content in a victim's profile record through S3-RT-007 or submits it in recovery fields; when P1 presents the stored or reflected data within the platform interface, the content executes in the victim's client context, where a live recovery token delivered on DF7 is reachable.","Client-side compromise inside the application context: capture of the recovery token delivered on DF7 within the same client context and its hand-off to S3-RT-003, and actions performed in the victim's name.","User-influenced data reaches the web tier across TB1, and display-side content handling is the only control point the model offers, none being specified; OWASP Top 10 A03 identifies rendering-sink failures for user-influenced data as the canonical class. The recovery setting aggravates the generic pattern because a live recovery token can be present in the same client context that presents the content, converting content execution directly into account takeover.","Catalogue entry T-13, retained with an architecture-only rewrite: implementation-specific rendering and encoding mechanisms were generalised to display-side content handling, which the architecture does not specify, and execution is stated conditionally on the client environment interpreting presented content. Retained separately from S3-RT-012, whose payload attacks lookup construction, because the sink here is the client context and the mitigation is display-side content handling at P1 rather than structured lookup construction at the services; and distinct from S3-RT-027, whose content originates in the LLM chain.",High,Medium,No,Medium,YES
S3-RT-014,Mass disclosure of User Database contents,Information Disclosure,Data Security,DS1 User Database,"DF3, DF4, DF9",TB2; TB3,User account information; profile information; recovery information; identity verification data,"Unauthorised bulk read of DS1's contents at the store layer: an actor compromising the store, or gaining access to the store side of the flows that terminate in it, reads the account, profile, recovery and identity-verification records of the whole user population, bypassing the service-level controls of P2 and P3 entirely; the architecture specifies no element protecting the store's contents directly.","An actor reaches the store side of the DF3, DF4 and DF9 terminations — through store compromise or unauthorised store-level access whose protection the architecture does not specify — and extracts records for the whole user population in bulk, with no service-level check ever consulted.","Bulk disclosure of account, profile, recovery and identity verification data, enabling targeted recovery attacks through S3-RT-002, identity fraud outside the system, and irreversible exposure of the verification factors on which every account's recovery depends.","DS1 concentrates all four sensitive data classes named in the asset list behind two service boundaries, and STRIDE-per-element mandates an information-disclosure entry for the central data store; the architecture draws TB2 and TB3 around DS1 precisely because recovery decisions depend on sensitive verification information and profile updates modify stored account information, so the store is acknowledged as the system's principal information repository, and no drawn element protects its contents directly.","Catalogue entry T-14, retained and restated at the store layer in this review: the mechanism is the unauthorised bulk read of persisted store contents, and the request-path entries S3-RT-011, S3-RT-012 and S3-RT-009 are separate threats with their own mechanisms, alternate roads to the same asset; this entry carries the store-level failure and the asset-level consequence and detection strategy, which are properties of the store, so that a candidate model identifying only the injection paths is not credited with having covered the direct compromise routes. Primary STRIDE is Information Disclosure.",Critical,Medium,No,High,YES
S3-RT-015,Account enumeration and verbose error disclosure across recovery and assistant responses,Information Disclosure,Data Security,P2 Account Recovery Service; P1 Web Frontend,"DF7, DF15",TB1,User account information; recovery information,"The attacker submits recovery requests for candidate account identifiers and observes differentiating responses on DF7 — such as account existence, which verification factor failed, or token state — or receives verbose internal errors relayed by P1, including provider-side errors surfaced through the assistant chain on DF15.","An attacker probes the recovery path with candidate identifiers and records which produce found-versus-not-found responses and which error content carries internal detail; over many requests this yields a validated map of account identifiers and their states, plus internal detail that refines further attacks.","Account enumeration for targeted attacks through S3-RT-001 and S3-RT-002, and disclosure of internal implementation details that refine injection and bypass attempts, at low cost and without any failed-exploit signature.","OWASP application security guidance on error handling requires uniform, minimal responses precisely because differentiating messages leak existence and state across the least trusted boundary, and the architecture specifies no such uniformity for DF7 or DF15. Severity is Medium because the entry is an enabler: it yields no direct compromise but materially lowers the cost and raises the precision of the takeover family S3-RT-001 through S3-RT-006.","Catalogue entry T-15, retained. An enabler rather than a direct compromise, retained because a candidate model listing only bulk disclosure is not credited with covering the externally observable oracle. Retained separately from S3-RT-014, which is the bulk disclosure of stored data itself, because enumeration discloses metadata about records rather than record contents and is controlled at the response construction layer rather than the data layer. Primary STRIDE is Information Disclosure.",Medium,High,No,High,YES
S3-RT-016,Interception of sensitive data crossing trust boundaries,Information Disclosure,Data Security,P1 Web Frontend; P5 LLM Integration Service,"DF1, DF7, DF12",TB1; TB5,Identity verification data; recovery tokens; context information sent to the LLM; user AI questions,"High-value data is in motion across drawn boundaries — verification answers and recovery requests on DF1, issued recovery tokens on DF7, and account-related context together with user questions on DF12 towards the external provider — and transport protection is not specified by the architecture, so an actor positioned on any boundary-crossing leg reads the content in transit; persistence of flow content in intermediary components, which the architecture does not specify, would extend the same exposure and is treated as conditional.","An actor positioned on the leg between the client and P1 reads verification answers and issued tokens on DF1 and DF7, and an actor positioned on the application-to-provider legs or compromising the integration component reads account-related context and user questions on DF12; no drawn control protects either leg.","Credential and verification data compromise feeding directly into the account takeover paths S3-RT-003 and S3-RT-004, and disclosure of account context and user questions outside the application boundary in advance of the provider-side exposure analysed in S3-RT-021.","STRIDE assigns information disclosure to sensitive data in transit across trust boundaries, and the architecture marks TB1 and TB5 as the boundaries where user-controlled input and contextual information respectively cross; bearer tokens and verification answers on these legs are the highest-value interception targets the model offers. OWASP guidance under Top 10 A02 and A09 supplies the control classes, transport protection and log hygiene, neither being represented.","Catalogue entry T-16, retained with an architecture-only rewrite and renamed from interception-and-logging to interception: transport-mechanism and logging-infrastructure terminology was replaced by the unspecified-protection phrasing, with persistence of flow content stated conditionally. Retained separately from S3-RT-003, which is the theft of the recovery token as a credential with its client-side delivery as the focus, because this entry is the systematic transit exposure of all boundary-crossing sensitive data, of which the token is one instance. Primary STRIDE is Information Disclosure.",High,High,No,Medium,YES
S3-RT-017,Exposure of the external provider credential,Information Disclosure,Data Security,P5 LLM Integration Service,DF12,TB5,Provider credential: the authentication material for the DF12 crossing,"The provider authentication material that P5 must hold to perform the DF12 crossing is exposed: its form, storage and handling are not specified by the architecture, and any exposure yields a secret that authenticates the application to EE2.","The credential material held at P5 is exposed through an implementation artefact whose nature the architecture does not specify; the attacker recovers it and submits prompts under the application's provider identity, consuming quota and impersonating the application towards the provider.","Unauthorised use of the application's provider identity: chargeable consumption, exhaustion of usage quotas that degrades the assistant alongside S3-RT-032, and impersonation of the application towards the provider, including submission of prompts that appear to originate from the system.","P5 is the single component that must authenticate the application to the external provider for the DF12 crossing, so the credential is a boundary-attached secret at exactly one location; the specification's prohibition on sending secrets to EE2 confirms that credential material is a recognised system asset. OWASP guidance under Top 10 A02 applies to boundary-attached secrets.","Catalogue entry T-17, retained with re-anchoring and a technology-neutral rewrite: implementation-specific credential forms and exposure channels were replaced by the unspecified authentication material whose form, storage and handling the architecture does not specify. Retained separately from S3-RT-029, in which the provider is the compromised party, because here the application's own credential material is the lost asset and the provider remains trustworthy; the mitigations, secrets hygiene and rotation, differ accordingly.",High,Medium,No,High,YES
S3-RT-018,"Insufficient audit logging of recovery, token and profile operations",Repudiation,Data Security,P2 Account Recovery Service; P3 Profile Management Service,"DF2, DF5, DF8",TB2,Recovery information; session/account recovery state; user account information,"Security-relevant events — recovery requests and their verification outcomes on DF2 through DF4, token issuance on DF5, and profile modifications on DF8 and DF9 — are not recorded in any tamper-evident audit trail, because the architecture contains no audit data store or logging component for any flow; attackers operate without trace and disputes cannot be resolved after the fact.","An attacker completes a takeover through the S3-RT-001 family and follows with profile modifications through S3-RT-007; no record ties either action to an actor, the victim's dispute cannot be resolved against any evidence, and the attacker repudiates every account-changing action.","Undetected progression of the takeover and manipulation families S3-RT-001 through S3-RT-009, no forensic basis for attributing account-changing actions, and repudiation of recovery and profile operations by legitimate users and attackers alike.","STRIDE assigns repudiation to actions that cannot be traced to an actor, and OWASP Top 10 A09 identifies missing logging and monitoring as the enabling condition for prolonged compromise; the architecture defines no audit store anywhere, which is an absence a reference model must record rather than assume away, and recovery token issuance and profile modification are exactly the actions for which after-the-fact evidence is required. The boundary is TB2 because the verification and token operations whose traceability matters most cross it, with the profile operations at TB3 noted in the mechanism.","Catalogue entry T-18, retained. The absence is a property of the drawn model — no audit store or logging component exists for any flow — which the reference model records rather than assumes away. Severity is Medium as an enabler whose harm materialises through the entries it conceals. Primary STRIDE is Repudiation.",Medium,High,No,High,YES
S3-RT-019,Direct prompt injection through user questions to the assistant,Tampering,LLM-Specific,P4 AI Account Support Assistant,"DF10, DF11",TB1,User AI questions; generated AI responses,"The attacker embeds instructions inside their question on DF10 — overrides of the assistant's instructions, demands to ignore constraints, or crafted role play — so that the prompt constructed on DF11 and the provider generates from on DF12 and DF13 deviates from intended behaviour and returns attacker-influenced content on DF15.","An attacker asks the assistant a question whose text carries instructions to disregard its operating constraints; the constructed prompt crosses TB5, the generated response incorporates the injected direction, and DF15 delivers manipulated content that the interface presents as an ordinary answer.","Manipulated or unrestricted assistant responses, extraction of the assistant's instructions and configuration through S3-RT-024, and generation of content that supports the social engineering patterns of S3-RT-026; the direct technical impact is bounded by the stated limitations, since the assistant generates no tokens, modifies no accounts and makes no authorisation decisions.","OWASP LLM01 identifies prompt injection as the top-ranked LLM application risk, and MITRE ATLAS AML.T0051.000 records the direct form of LLM prompt injection: user questions are externally controlled input entering at TB1, exactly the crossing that boundary is drawn for, and are incorporated into prompts with no trusted instruction channel separating directives from data. The architecture's assistant limitations bound what injection can achieve, which a reference model must state rather than inflate, but response manipulation, instruction extraction and harmful content generation remain fully feasible.","Catalogue entry T-19, retained. The review's authority assessment is recorded here: attempts to make the assistant act as a recovery authority — to authenticate, authorise, generate or validate tokens — are bounded structurally by the stated limitations and by A3 and A4, so such attempts manifest as this injection entry, and the realisable harm is manipulated guidance and output-handling compromise, not an actual recovery bypass, which only the P2-path entries can deliver; the mandated distinction between incorrect AI guidance and recovery-authority bypass is thereby preserved. Retained separately from S3-RT-020, in which the payload arrives through data rather than through the attacker's own question, because the mitigations differ: input structuring and instruction hardening here versus context sanitisation and source control there.",High,High,Yes,High,YES
S3-RT-020,Indirect prompt injection through account-related context,Tampering,LLM-Specific,P4 AI Account Support Assistant,DF11 (context-acquisition path not represented in the model),TB5,Context information sent to the LLM; profile information,"Injection payloads planted in account-related data — most plausibly attacker-controlled profile fields modified through the profile path of S3-RT-008 and S3-RT-012 — are ingested as approved contextual information when the assistant assembles its prompt on DF11 and execute as instructions during generation, without the attacker ever interacting with the victim's assistant conversation.","An attacker writes instruction-bearing content into profile fields they can influence; when a victim later asks the assistant an account-related question, the stored content is assembled into the prompt as context, the generated response follows the embedded instructions, and DF15 delivers manipulated guidance in the victim's conversation.","Manipulation of the responses delivered in the victim's conversation on DF15: misleading recovery guidance of the S3-RT-025 and S3-RT-026 forms, disclosure of whatever context the assistant can assemble, and instruction extraction; exfiltration of live account data is bounded by the assistant's lack of account access, which the model states as a limitation.","OWASP LLM01 covers indirect prompt injection and MITRE ATLAS AML.T0051.001 records the indirect form: the defining property is that the payload travels in data the prompt assembles rather than in the user's own words. This threat is justified by an absence in the architecture rather than by a drawn element: no flow shows where the approved account-related context of DF11 originates, and profile information is the only user-modifiable data in the model that plausibly feeds account-related context, which makes this the architecture's latent indirect-injection path.","Catalogue entry T-20, retained with its conditional grounding stated explicitly: realisation requires the unmodelled context path both to draw on user-modifiable data and to pass it unfiltered, a compound design risk rather than a drawn flaw, which is why severity is High rather than Critical and confidence is Medium. Retained separately from S3-RT-019 per the direct-versus-indirect carrier distinction.",High,Medium,Yes,Medium,YES
S3-RT-021,Sensitive account information disclosure to the external LLM provider,Information Disclosure,LLM-Specific,P5 LLM Integration Service; EE2 External LLM Provider,DF12,TB5,Context information sent to the LLM; user AI questions; identity-verification data; recovery tokens (prohibited egress classes),"Prompt and contextual information forwarded on DF12 includes account-related content beyond what the question requires, potentially reaching the classes the specification explicitly prohibits from crossing TB5: recovery tokens, identity-verification secrets, and private account data outside approved context; no minimisation, redaction or classification gate is represented between the assistant's context assembly and the egress flow.","A user asks an ordinary account question; the context assembled behind it over-includes verification-adjacent and recovery-related data, the content leaves the application trust boundary on DF12, and it is processed in the provider's environment with no application-side control over scope.","Exposure of account, recovery and potentially verification-adjacent information — and of the explicitly prohibited classes, recovery tokens and identity-verification secrets, if scope control fails — to an external party without the user's direct awareness, with regulatory and data protection consequences, and with the data then subject to the provider-side persistence analysed in S3-RT-022.","TB5 is drawn in this architecture precisely because prompts and contextual information leave the application trust boundary, and the specification states explicitly that the external LLM must never receive recovery tokens, identity-verification secrets or private account data outside approved context, which makes the egress scope a stated security property with no represented enforcement gate. OWASP LLM02 applies and MITRE ATLAS AML.T0024 records exfiltration through the external inference interface; the distinguishing property is that the flow is by design, so the threat is a scope-of-delivery problem rather than an attacker-initiated breach, and it is the only confidentiality loss in the model with no application-side remedy after the fact.","Catalogue entry T-21, retained and extended to test the specification's explicit egress prohibitions: recovery tokens, identity-verification secrets and private account data outside approved context must never reach EE2, and this entry is the failure mode in which prompt and context assembly lets exactly those classes cross TB5. Retained separately from S3-RT-016, which is interception of the leg, and from S3-RT-022, which is provider-side persistence, because the disclosure here is the intended delivery itself, unchecked in scope. Primary STRIDE is Information Disclosure.",High,High,Yes,High,YES
S3-RT-022,"Provider-side retention, logging and reuse of account data",Information Disclosure,LLM-Specific,EE2 External LLM Provider,"DF12, DF13",TB5,Context information sent to the LLM; user AI questions,"Conditional provider-side risk: if the external provider retains, logs or reuses for its own purposes the data transmitted on DF12 — practices outside the application's technical control and not specified by the architecture — that content later surfaces through provider incidents, disclosures or lawful access, without any attacker action inside the application.","Data transmitted on DF12 is retained or reused by the provider under practices the application neither sees nor controls; a later provider incident or disclosure exposes the account-related questions and context of the application's users, with no application-side containment possible once the data is in the provider's custody.","Long-horizon disclosure of account-related questions and context, and loss of control over recovery-related user data after it has crossed TB5, with exposure that cannot be bounded by any application-side containment once the data is in the provider's custody.","OWASP LLM02 extends to the provider's data handling, and the architecture models EE2 as a bare external entity outside application security control with no contractual, technical or retention controls represented; the threat materialises through ordinary provider behaviour rather than through compromise, which distinguishes it from S3-RT-029. Severity is Medium because direct harm requires a secondary event, but the entry is retained because the application's recovery-domain data makes the exposure consequential when it occurs, and because no drawn control addresses it.","Catalogue entry T-22, retained with conditional scoping: provider-side retention, logging and reuse are practices outside the application's technical control and not specified by the architecture, so the entry is stated conditionally on the provider engaging in them. Retained separately from S3-RT-029, in which the provider is compromised, because here the provider behaves legitimately and the exposure is a custody property. Primary STRIDE is Information Disclosure.",Medium,Medium,Yes,Medium,YES
S3-RT-023,Cross-user account information leakage through assistant context assembly,Information Disclosure,LLM-Specific,P4 AI Account Support Assistant,"DF11, DF14, DF15",TB5,User account information; context information sent to the LLM; generated AI responses,"If the assembly of the approved contextual information for DF11 over-includes or mis-scopes account data — context belonging to other accounts, or data the requesting user is not authorised to see — the provider's response on DF13 and DF14 faithfully incorporates that context and DF15 delivers it to the wrong user; the architecture draws no authorisation element or context-acquisition flow for the assembly step.","Two users question the assistant; the context assembled for one user's prompt includes account data belonging to another, the generated response incorporates it, and DF15 delivers other users' account and recovery-related information to the requester with the interface's authority.","Unauthorised disclosure of other users' account and recovery-related information through the assistant interface, in a recovery system potentially including verification-adjacent data that sharpens the targeted takeover attacks S3-RT-001 and S3-RT-002.","The qualifier approved in the description of DF11 implies an authorisation decision inside the context assembly step, yet no authorisation component and no flow for context acquisition is modelled, so the decision has no represented enforcement point; the gap is exactly where cross-user leakage arises, and the entry is absence-justified in the same manner as S3-RT-020, which shares the unmodelled path. Research on LLM-integrated applications records cross-session and cross-user context bleed as a recurring leakage class, and OWASP Top 10 A01 covers the underlying broken object-level authorisation failure.","Catalogue entry T-23, retained with conditional framing on the unmodelled context-assembly step, absence-justified in the same manner as S3-RT-020. Retained separately from S3-RT-021, in which legitimately scoped context is disclosed to the provider, because here the disclosure is to the wrong user and the control is context authorisation rather than egress minimisation. Primary STRIDE is Information Disclosure.",High,Medium,Yes,Medium,YES
S3-RT-024,Extraction of privileged assistant instructions and prompt content,Information Disclosure,LLM-Specific,P4 AI Account Support Assistant,"DF10, DF15",TB1,Privileged assistant instructions; prompt content; context-handling rules,"If the prompt constructed for the DF11 and DF12 crossings carries privileged instructions or fixed configuration — operating procedures, context-handling rules, workflow detail — crafted questions, direct extraction requests, multi-turn priming or induced rule recitation can cause that content to be reproduced in responses on DF15.","Over several turns an attacker requests verbatim repetition, summaries and rephrasing variants until privileged prompt content and any fixed context appear in a response on DF15, revealing the assistant's instructions and any configuration embedded in them.","Disclosure of internal design and procedural detail that sharpens the recovery attacks S3-RT-001 and S3-RT-002, enables more convincing social engineering through S3-RT-026, and assists further prompt injection crafting against S3-RT-019 and S3-RT-020.","MITRE ATLAS AML.T0056 records extraction of LLM prompt content as a distinct technique, and OWASP LLM07 covers prompt leakage; the architecture represents prompt construction at P5 but no distinct instruction element, so the presence of privileged prompt content is conditional on the implementation embedding it, and extraction requires conversation only, no component compromise. Severity is Medium because the loss is informational and primarily enables other entries.","Catalogue entry T-24, retained and reframed in this review: the supplied architecture represents prompt construction at P5 but no distinct instruction element, so the entry is restated as extraction of privileged assistant instructions and prompt content, conditional on such content being embedded in the constructed prompt. Retained separately from S3-RT-019, the injection that often carries it, because a perfectly injection-resistant assistant can still be induced to reveal configuration through ordinary conversational means, and the mitigations, content policies versus keeping security-relevant logic out of prompts, differ. Primary STRIDE is Information Disclosure.",Medium,High,Yes,High,YES
S3-RT-025,Hallucinated account recovery guidance,Tampering,LLM-Specific,P4 AI Account Support Assistant,"DF13, DF14, DF15",TB5,Generated AI responses,"The external provider generates plausible but false recovery guidance on DF13 — non-existent steps, wrong verification channels, fabricated contact routes or incorrect procedural detail — which the assistant relays on DF14 and P1 displays on DF15 with the interface's apparent authority and no factual validation step in between.","A locked-out user asks how to recover their account; the generated guidance confidently describes a procedure that does not exist or directs verification answers to a wrong channel, the response is displayed as an ordinary answer, and the user follows it.","Users following incorrect recovery procedures: failed recoveries, disclosure of verification data to wrong channels, and priming for phishing that impersonates the fabricated procedures, in the workflow where users are least able to judge correctness because they are locked out and dependent on guidance.","OWASP LLM09 identifies misinformation, and the 2023 edition's LLM09 overreliance framing already tied generation errors to user harm; hallucination is an intrinsic generation failure mode that no component in this architecture validates, since DF14 and DF15 carry the response to display without any accuracy control. Account recovery is the highest-stakes guidance context this system offers, which is what elevates an otherwise generic LLM weakness into an architecture-relevant entry.","Catalogue entry T-25, retained. The entry absorbs the user-trust amplification formerly carried by the excluded excessive-trust entry: users mid-recovery are locked out and dependent on guidance and cannot easily validate what they are told, which amplifies this entry's impact but is not a distinct mechanism. Retained separately from S3-RT-026 because hallucination is factual error produced without attacker intent, whereas unsafe advice is content harmful if followed regardless of its origin, and only the latter is mitigated by content policy; both can co-occur in one response. Per the review's mandated distinction, incorrect guidance here is not a recovery-authority bypass. Primary STRIDE is Tampering under an explicitly extended interpretation, loss of integrity of generated information.",Medium,High,Yes,High,YES
S3-RT-026,Unsafe AI-generated advice undermining account security,Tampering,LLM-Specific,P4 AI Account Support Assistant,DF15,TB5,Generated AI responses,"Generated responses displayed on DF15 contain advice that actively undermines security — encouraging users to share verification answers through the chat, describing workaround steps around recovery controls, or directing users to external channels and contact points — whether the content originates in hallucination through S3-RT-025, injection through S3-RT-019 and S3-RT-020, or provider compromise through S3-RT-029.","A user mid-recovery asks the assistant for help; the displayed answer advises sharing verification answers in the conversation or following an external contact route, the user complies because the instruction arrives inside the trusted application in direct response to their own question, and the account is compromised with the user's own participation.","Users persuaded into self-compromising actions during the most sensitive account workflow: verification data disclosed to attacker-influenced channels, recovery controls circumvented by cooperative victims, and account takeover completed with the user's own participation.","Research on LLM-integrated applications records unsafe advice in safety-relevant contexts as a failure class distinct from factual error: the content is actionable, authoritative in presentation, and harmful when followed, and the assistant is this system's user-facing guidance channel with no human-authored content control represented between generation on DF13 and display on DF15. The stated assistant limitations bound what the advice can directly execute, but they do not bound what the advice can persuade a user to do, which is why severity is High.","Catalogue entry T-26, retained. The entry likewise absorbs the user-trust amplification formerly carried by the excluded excessive-trust entry, the recovery context making cooperative victims the norm rather than the exception. Retained separately from S3-RT-025 per the mechanism distinction stated there. Per the review's mandated distinction, unsafe guidance here is not a recovery-authority bypass; only the P2-path entries deliver that. Primary STRIDE is Tampering.",High,Medium,Yes,High,YES
S3-RT-027,Insecure output handling: active content in assistant responses,Tampering,LLM-Specific,P1 Web Frontend,"DF14, DF15",TB1,Generated AI responses; recovery tokens,"Generated content arriving on DF14 and displayed on DF15 contains active content that P1 presents without content separation or handling safeguards — none is specified on the display path — and that executes in the user's client context; an attacker seeds the content through injection S3-RT-019 or S3-RT-020, or through provider compromise S3-RT-029, none of which the rendering path can distinguish.","Through injection or provider compromise the attacker induces the model to emit active content in its answer; P1 displays the response as content with execution capability, it runs in the user's client context, captures session state and any recovery token handled in the same context, and hands off to S3-RT-003 for account takeover.","Client-side compromise inside the application context: theft of session state and of any recovery token handled in the same client context, handing off to S3-RT-003 for account takeover, and execution of actions in the victim's name.","OWASP LLM05 requires treating model output as untrusted input, and A5 of the supplied assumptions declares it so; the architecture carries generated content from beyond TB5 through DF13 and DF14 straight to display at P1 with no content-handling element specified, and the display context is the recovery workflow itself, where valid tokens can be present in the same client context, which is what makes the chain to account takeover direct rather than theoretical.","Catalogue entry T-27, retained with an architecture-only rewrite: rendering and encoding mechanisms were generalised to content separation and handling safeguards on the display path, none being specified. This entry is the practical realisation of unintended AI authority in this architecture: generated content becomes executable in the client context, which is how the excessive-authority concern manifests when the assistant itself is structurally unprivileged under A3 and A4. Retained separately from S3-RT-013, whose content originates in stored profile and recovery data, because the source here is the LLM chain and the control must sit on the DF14 to DF15 display path specifically. Primary STRIDE is Tampering.",Critical,Medium,Yes,High,YES
S3-RT-029,Compromise or substitution of the external LLM provider,Spoofing,LLM-Specific,EE2 External LLM Provider; P5 LLM Integration Service,"DF12, DF13",TB5,Generated AI responses; context information sent to the LLM,"The DF12/DF13 exchange depends on the identity and integrity of the responder beyond TB5, and no mechanism verifying that the responder is the intended external provider is specified by the architecture; if EE2 is substituted or compromised, prompts and account-related context are harvested and every response is attacker-controlled.","The communication that P5 sends on DF12 is answered by an attacker-controlled replacement of the intended provider, the substitution path lying outside the drawn architecture; every question and account-related context submission is harvested, and every DF13 response is attacker-authored, weaponising the guidance entries S3-RT-025 and S3-RT-026 and the output-handling entry S3-RT-027 for all users.","Interception of every prompt and account-related context submission crossing TB5 together with control of every response returned on DF13, converting the assistant into an attacker-controlled channel for all users.","P5 is the only element that performs the TB5 crossing, so any verification of the external provider's identity and integrity must concentrate at that single component, and no such verification is specified; EE2 is not merely a service the application calls but the source of content the application displays to users on DF15. OWASP LLM03 applies, and MITRE ATLAS frames the substitution angle as ML supply chain compromise.","Catalogue entry T-29, retained with a STRIDE collapse and a trust-boundary-level rewrite: primary Spoofing, the trusted external entity impersonated or substituted, with control of the responses (tampering) and harvesting of submissions (information disclosure) noted as consequences; infrastructure-specific substitution mechanisms were removed per the architecture-only scope. Retained separately from S3-RT-022, in which the provider behaves legitimately but retains data, and from S3-RT-017, in which the application's own credential is lost, because here the provider itself is the compromised party and the mitigation class is provider assurance and response validation rather than secrets hygiene.",High,Low,Yes,High,YES
S3-RT-030,Denial of service on the Account Recovery Service,Denial of Service,Availability,P2 Account Recovery Service,"DF1, DF2",TB1,Session/account recovery state; user account information,"An attacker floods the recovery interface on DF1 and DF2 with automated requests; each request triggers verification lookups on DF3 and DF4 and potentially token operations on DF5 and DF6, saturating the service and its database capacity so that legitimate locked-out users cannot complete recovery.","An attacker submits recovery requests at high volume; every request costs verification lookups and potential token operations, the service's capacity is consumed, and legitimate locked-out users cannot complete recovery for the duration.","Recovery denied to legitimate users at the moment of highest need, a lockout condition that also functions as extortion pressure, degrades trust in the platform, and masks concurrent targeted attacks from S3-RT-001 through S3-RT-006 in the resulting noise.","STRIDE assigns denial of service to boundary-exposed processing, and the recovery workflow is inherently reachable by unauthenticated users because its purpose is to serve users who have lost credentials, so it cannot simply be gated behind authentication; the architecture models no rate limiting, queueing or load isolation for DF2. High severity reflects that the service's entire purpose is availability of access restoration: denying it locks affected users out of their accounts as surely as a takeover, without needing to defeat any control.","Catalogue entry T-30, retained. The recovery workflow is inherently unauthenticated by purpose, and no throttling or load isolation is drawn. Retained separately from S3-RT-031, which targets the token store's state volume rather than service capacity. Primary STRIDE is Denial of Service.",High,High,No,High,YES
